,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,América-MG,9.0,Cuiabá,1.4102205927089737,1.052000328706028,44.72,28.52,26.76,26.21,16.23,8.53
1,Ceará,9.0,Coritiba,1.557760791766606,1.3108868081789458,43.96,31.5,24.54,21.62,14.44,5.79
2,Avaí,9.0,São Paulo,1.576135423451775,1.437891040685493,40.91,34.95,24.14,18.87,16.07,4.96
3,Athletico-PR,9.0,Santos,1.1923110400272612,0.9720851485063502,41.02,29.68,29.3,26.3,18.99,11.72
4,Atlético-GO,9.0,Corinthians,1.53394690816409,1.4163837713753975,40.34,35.48,24.17,19.04,16.5,5.24
5,Juventude,9.0,Fluminense,1.458556341087208,0.9764730645447957,47.93,25.24,26.84,28.73,14.52,8.62
6,Flamengo,9.0,Fortaleza,1.598199071537774,1.6090721121196925,38.09,38.44,23.47,16.05,15.81,3.84
7,Palmeiras,9.0,Atlético-MG,1.278879976758748,1.807087784773696,26.57,50.36,23.06,11.12,23.45,4.57
8,Bragantino,9.0,Internacional,1.103812653553121,0.9545670751000733,38.73,31.29,29.98,25.53,20.49,12.79
9,Botafogo,9.0,Goiás,1.4666715556207244,1.0180482443288206,47.53,26.29,26.17,28.02,14.57,7.99
