,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'DS': 5, 'FC': 10, 'FD': 6, 'FF': 7, 'FS': 12, 'G': 6, 'I': 8, 'PI': 28}",89840,6,276,5,7,14.9,28.21,2.46,11.03,6,,calleri,Calleri,Calleri,Jonathan Calleri,https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,Provável
1,{},51548,6,264,4,7,0.0,5.36,-1.27,2.03,3,,,Giuliano,Giuliano,Giuliano Victor de Paula,https://s.glbimg.com/es/sde/f/2021/07/22/1e8808fa091e5d4062730e04ed46b383_FORMATO.png,Provável
2,"{'CA': 1, 'DS': 5, 'FC': 3, 'FF': 3, 'FS': 7, 'FT': 1, 'G': 2, 'I': 1, 'PI': 33, 'PP': 1}",80196,6,356,4,7,3.5,9.58,-0.7,5.4,4,,yago-pikachu,Yago Pikachu,Y. Pikachu,Glaybson Yago Souza Lisboa,https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png,Provável
3,{},71071,6,282,6,6,6.32,12.6,0.52,5.7,6,,,Antonio Mohamed,A. Mohamed,Ricardo Antonio Mohamed Matijevich,https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png,Nulo
4,"{'DS': 2, 'FC': 1, 'FD': 1, 'PI': 4}",81091,6,282,4,6,2.9,6.79,0.11,2.73,6,,,Jair,Jair,Jair Rodrigues Júnior,https://s.glbimg.com/es/sde/f/2021/05/02/9f45c3d8021bc336ee9149455cd40768_FORMATO.png,Nulo
5,{'FS': 1},71162,6,354,4,2,0.5,3.74,-0.26,1.35,4,,,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png,Dúvida
6,{'SG': 1},72294,6,282,1,6,5.0,12.3,0.11,3.83,6,,,Everson,Everson,Everson Felipe Marques Pires,https://s.glbimg.com/es/sde/f/2021/05/02/2eff4cdfd58d4f859979ef83bbe1ad06_FORMATO.png,Nulo
7,"{'DS': 4, 'FC': 1, 'FF': 1, 'FS': 1, 'PI': 5}",86686,6,263,4,7,5.3,5.21,0.93,2.1,3,,,Tchê Tchê,T. Tchê,Danilo das Neves Pinheiro,https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png,Provável
8,"{'DS': 1, 'PI': 4, 'SG': 1}",88312,6,282,3,6,5.8,13.85,0.29,5.02,6,,,Junior Alonso,J. Alonso,Junior Osmar Ignacio Alonso Mujica,https://s.glbimg.com/es/sde/f/2021/05/02/032f0f12e9d3ede51e80e7fe49b836da_FORMATO.png,Nulo
9,"{'CA': 1, 'DS': 2, 'FC': 3, 'FD': 1, 'PI': 3, 'SG': 1}",95794,6,282,3,6,6.4,10.19,0.53,5.25,4,,,Nathan Silva,N. Silva,Nathanael Ananias da Silva,https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png,Nulo
