,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1725,Marcelo Lomba,68872,Palmeiras,GOL,10.0,4.25,Santos,mandante,4.583333333333333,7.291666666666666
1726,Gustavo Henrique,78248,Flamengo,ZAG,9.6,0.26666666666666666,Fluminense,mandante,3.2083333333333335,6.404166666666667
1727,Marinho,68952,Flamengo,ATA,9.5,2.35,Fluminense,mandante,3.2083333333333335,6.354166666666667
1728,Natanael,86264,Avaí,LAT,8.45,3.6,Atlético-MG,mandante,3.875,6.1625
1729,Raphael Veiga,94509,Palmeiras,MEI,7.160000000000001,1.7625,Santos,mandante,4.583333333333333,5.871666666666667
1730,Arrascaeta,87863,Flamengo,MEI,8.274999999999999,4.536363636363637,Fluminense,mandante,3.2083333333333335,5.741666666666666
1731,Ayrton Lucas,88393,Flamengo,LAT,8.222222222222221,3.1,Fluminense,mandante,3.2083333333333335,5.715277777777778
1732,Gustavo Gómez,71684,Palmeiras,ZAG,6.827272727272727,6.512499999999999,Santos,mandante,4.583333333333333,5.70530303030303
1733,Kayque,110962,Botafogo,MEI,7.15,0.5333333333333333,Coritiba,mandante,4.090909090909091,5.620454545454546
1734,Matheuzinho,101727,Flamengo,LAT,8.014285714285714,2.658333333333333,Fluminense,mandante,3.2083333333333335,5.611309523809524
1735,Vanderlan,107236,Palmeiras,LAT,6.625,3.266666666666667,Santos,mandante,4.583333333333333,5.604166666666666
1736,Anderson,102906,Athletico-PR,GOL,7.5,6.5,Cuiabá,mandante,3.6923076923076925,5.596153846153847
1737,Fabrício Bruno,90768,Flamengo,ZAG,7.833333333333333,2.125,Fluminense,mandante,3.2083333333333335,5.520833333333333
1738,Gustavo Scarpa,87999,Palmeiras,MEI,6.449999999999999,6.409090909090909,Santos,mandante,4.583333333333333,5.516666666666666
1739,Piquerez,102130,Palmeiras,LAT,6.411111111111111,4.242857142857143,Santos,mandante,4.583333333333333,5.497222222222222
1740,Orejuela,95352,Athletico-PR,LAT,7.25,4.371428571428572,Cuiabá,mandante,3.6923076923076925,5.471153846153847
