,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,América-MG,Cuiabá,61.254350433896676,25.94717183827338,12.798425412817382,59.411616173312986,22.498107375449575
1,Ceará,Coritiba,37.17949669284865,25.53972382815484,37.28073184828783,25.24356970561917,25.29953978803463
2,Avaí,São Paulo,30.531570795684317,20.96317203460259,48.50382883850195,12.252183465927938,19.312387784214906
3,Athletico-PR,Santos,21.081920733039418,38.48114515645939,40.43693395835856,43.602842596832744,59.968903401236915
4,Atlético-GO,Corinthians,25.41816425134702,30.72318912834817,43.85864257304765,31.781861201738288,45.10140932093497
5,Juventude,Fluminense,31.41103278965148,27.213874935324213,41.37507291648424,26.622519358779716,32.75324760673014
6,Flamengo,Fortaleza,66.06170423603986,27.3208466697586,6.617427336601287,77.94009356840044,25.59395228353938
7,Palmeiras,Atlético-MG,71.00517945700734,20.4496077016537,8.544818845904064,62.80923119773437,15.798915015350303
8,Bragantino,Internacional,55.369316423932055,31.398993387020518,13.231684697614638,65.46235092590807,30.57628690915928
9,Botafogo,Goiás,54.24268835027544,23.67984722940707,22.077240540291044,36.15831972534351,17.616554010049775
