,atleta_id,apelido,ranking
0,87999,Gustavo Scarpa,1
1,87863,Arrascaeta,2
2,71684,Gustavo Gómez,3
3,94583,Pedro,4
4,110506,Abel Ferreira,5
5,102130,Piquerez,6
6,79631,Cano,7
7,63013,Marcos Rocha,8
8,97653,Murilo,9
9,71631,Weverton,10
10,102878,Terans,11
11,91607,Rony,12
12,83257,Gabriel,13
13,99815,Arias,14
14,68920,Dudu,15
15,97867,Léo Ortiz,16
16,39148,Hulk,17
17,51772,Everton Ribeiro,18
18,88423,Aderlan,19
19,73992,Rodinei,20
