,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Ceará,Palmeiras,3.64,3.2,2.12,27.47252747252747,47.16981132075471,31.25
1,Goiás,Coritiba,2.44,3.08,3.06,40.98360655737705,32.6797385620915,32.467532467532465
2,Corinthians,Botafogo,1.68,3.54,5.52,59.523809523809526,18.11594202898551,28.24858757062147
3,Flamengo,Atlético-GO,1.42,4.61,7.3,70.42253521126761,13.698630136986301,21.691973969631235
4,Athletico-PR,São Paulo,2.27,3.17,3.29,44.052863436123346,30.3951367781155,31.545741324921135
5,Internacional,Atlético-MG,2.65,3.16,2.77,37.735849056603776,36.101083032490976,31.645569620253163
6,América-MG,Avaí,1.73,3.62,4.8,57.80346820809249,20.833333333333336,27.624309392265197
7,Cuiabá,Fortaleza,2.46,3.04,3.08,40.65040650406504,32.467532467532465,32.89473684210527
8,Bragantino,Juventude,1.54,3.93,6.31,64.93506493506493,15.84786053882726,25.44529262086514
9,Santos,Fluminense,2.76,3.06,2.76,36.23188405797102,36.23188405797102,32.6797385620915
