,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,78,59,17,42,11,1
1,Corinthians,61,40,28,12,10,2
2,Internacional,57,40,27,13,10,3
3,Fluminense,56,43,32,11,10,4
4,Flamengo,51,42,31,11,12,5
5,Atlético-MG,51,35,26,9,6,6
6,São Paulo,49,42,31,11,8,7
7,Athletico-PR,49,38,39,-1,6,8
8,Botafogo,47,32,35,-3,7,9
9,Bragantino,46,45,42,3,6,10
10,Santos,44,37,29,8,9,11
11,América-MG,41,26,33,-7,7,12
12,Fortaleza,40,29,35,-6,10,13
13,Goiás,39,34,40,-6,5,14
14,Coritiba,39,28,43,-15,7,15
15,Ceará,36,29,35,-6,2,16
16,Cuiabá,35,24,33,-9,7,17
17,Atlético-GO,34,30,44,-14,5,18
18,Avaí,32,25,49,-24,0,19
19,Juventude,26,23,51,-28,1,20
