,clube,xGA_geral
0,Atlético-MG,0.9161732673083064
1,Flamengo,0.978748799720681
2,Palmeiras,1.003566607685749
3,Fluminense,1.0526415657482335
4,Internacional,1.1080631579577616
5,Corinthians,1.1686802527182691
6,São Paulo,1.1724176665529937
7,Fortaleza,1.1733117038465322
8,Cuiabá,1.2548332764133552
9,Bragantino,1.2634174877415898
10,Ceará,1.3458347680425224
11,América-MG,1.377975098264026
12,Botafogo,1.4202426867638405
13,Atlético-GO,1.4202781095976944
14,Coritiba,1.4367610081194226
15,Santos,1.438871801254409
16,Athletico-PR,1.5008816012647626
17,Juventude,1.524248484340545
18,Avaí,1.53901510700612
19,Goiás,1.7900277067000006
