,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
1,Juventude,Avaí,2.1,3.19,3.76,47.61904761904761,26.595744680851062,31.347962382445143
2,Athletico-PR,Fluminense,3.32,3.24,2.28,30.120481927710845,43.85964912280702,30.864197530864196
3,Bragantino,Palmeiras,2.98,3.23,2.42,33.557046979865774,41.32231404958678,30.959752321981426
4,América-MG,Coritiba,1.83,3.45,4.54,54.64480874316939,22.026431718061673,28.985507246376812
5,Flamengo,Ceará,1.42,4.55,7.17,70.42253521126761,13.94700139470014,21.978021978021978
6,Corinthians,Internacional,2.25,3.15,3.47,44.44444444444444,28.818443804034583,31.746031746031743
7,Fortaleza,Botafogo,1.81,3.37,4.76,55.24861878453039,21.008403361344538,29.673590504451035
8,Atlético-GO,Atlético-MG,4.25,3.54,1.85,23.52941176470588,54.05405405405405,28.24858757062147
9,Cuiabá,São Paulo,2.78,2.94,2.78,35.97122302158274,35.97122302158274,34.01360544217687
10,Santos,Goiás,1.76,3.38,4.62,56.81818181818182,21.645021645021643,29.585798816568047
