,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,43,33,10,23,9,1
1,Corinthians,34,24,16,8,8,2
2,Internacional,30,25,17,8,9,3
3,Atlético-MG,30,24,17,7,9,4
4,Fluminense,29,23,19,4,11,5
5,Athletico-PR,29,23,20,3,8,6
6,Bragantino,28,29,22,7,10,7
7,Santos,26,21,14,7,8,8
8,Flamengo,25,22,16,6,10,9
9,Ceará,24,22,21,1,8,10
10,São Paulo,23,23,20,3,5,11
11,Goiás,22,18,21,-3,8,12
12,Avaí,22,18,26,-8,5,13
13,Botafogo,19,16,24,-8,1,14
14,Cuiabá,18,12,18,-6,5,15
15,Atlético-GO,18,17,25,-8,2,16
16,Coritiba,17,19,29,-10,2,17
17,Fortaleza,16,14,20,-6,5,18
18,América-MG,16,11,22,-11,1,19
19,Juventude,14,14,30,-16,4,20
