,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,35,31,12,19,10,1
1,Atlético-MG,27,24,17,7,11,2
2,Athletico-PR,27,20,17,3,11,3
3,Corinthians,27,19,16,3,8,4
4,Internacional,25,22,15,7,10,5
5,Fluminense,24,20,14,6,10,6
6,São Paulo,22,20,16,4,7,7
7,Flamengo,21,18,16,2,9,8
8,Botafogo,21,17,19,-2,9,9
9,Santos,19,19,15,4,6,10
10,Ceará,18,18,19,-1,5,11
11,Bragantino,18,20,22,-2,5,12
12,Avaí,18,18,23,-5,7,13
13,Coritiba,18,18,23,-5,3,14
14,América-MG,18,12,17,-5,4,15
15,Goiás,17,14,18,-4,4,16
16,Atlético-GO,17,17,21,-4,7,17
17,Cuiabá,16,11,17,-6,5,18
18,Fortaleza,11,13,20,-7,4,19
19,Juventude,11,13,26,-13,1,20
