,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Avaí,21.0,Corinthians,1.2719080606319193,1.0570688843220633,41.45,30.56,27.99,25.42,17.84,9.57,34.99,27.41,62.400000000000006
1,Juventude,21.0,América-MG,1.4542000422182901,1.162606389278459,43.51,30.16,26.32,23.84,16.02,7.6,31.439999999999998,23.619999999999997,55.059999999999995
2,Botafogo,21.0,Ceará,1.2567475591400812,1.1544809443535915,38.0,34.61,27.4,22.33,20.41,8.79,31.119999999999997,29.2,60.31999999999999
3,São Paulo,21.0,Flamengo,1.2533579013106386,1.3818361611732606,33.83,40.01,26.16,17.89,21.73,7.36,25.25,29.09,54.34
4,Coritiba,21.0,Santos,1.3588592286063106,1.2557232027263563,39.18,34.45,26.37,21.33,18.55,7.23,28.56,25.78,54.34
5,Atlético-MG,21.0,Athletico-PR,1.574042286865513,1.2970955765904584,44.15,31.47,24.38,21.85,15.02,5.5,27.35,20.52,47.870000000000005
6,Fortaleza,21.0,Internacional,1.3174648611466302,1.3205547254253331,36.91,36.49,26.61,19.78,19.2,7.24,27.020000000000003,26.439999999999998,53.46
7,Fluminense,21.0,Cuiabá,1.5920162038931789,1.3070341123760416,43.43,32.01,24.57,21.27,15.15,5.37,26.64,20.52,47.16
8,Atlético-GO,21.0,Bragantino,1.6294268597574013,1.4619340705070805,41.53,34.79,23.67,18.62,15.26,4.17,22.79,19.43,42.22
9,Palmeiras,21.0,Goiás,1.8543777751960224,1.503645786595802,46.21,31.76,22.03,18.62,12.19,3.35,21.970000000000002,15.54,37.510000000000005
