,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,1.6,0.6,1.6666666666666667,0.3333333333333333,1.6333333333333333,0.4666666666666667,1.0,1.3333333333333335,1.1666666666666665
1,São Paulo,2.5,1.0,1.0,1.4,1.75,1.2,1.5,-0.3999999999999999,0.55
2,Coritiba,2.0,0.5,1.0,1.6,1.5,1.05,1.5,-0.6000000000000001,0.44999999999999996
3,Atlético-MG,1.6,1.0,1.0,0.75,1.3,0.875,0.6000000000000001,0.25,0.42500000000000004
4,Corinthians,1.25,0.5,1.1666666666666667,1.1666666666666667,1.2083333333333335,0.8333333333333334,0.75,0.0,0.3750000000000001
5,Santos,1.6,0.6,0.75,1.0,1.175,0.8,1.0,-0.25,0.375
6,América-MG,2.0,0.75,0.6,1.4,1.3,1.075,1.25,-0.7999999999999999,0.2250000000000001
7,Internacional,1.25,1.0,1.0,0.8,1.125,0.9,0.25,0.19999999999999996,0.22499999999999998
8,Flamengo,1.25,1.0,1.25,1.25,1.25,1.125,0.25,0.0,0.125
9,Botafogo,1.5,1.75,1.0,0.8,1.25,1.275,-0.25,0.19999999999999996,-0.02499999999999991
10,Bragantino,1.2,1.0,0.75,1.0,0.975,1.0,0.19999999999999996,-0.25,-0.025000000000000022
11,Fluminense,0.75,1.0,0.8,0.8,0.775,0.9,-0.25,0.0,-0.125
12,Goiás,1.25,1.0,1.0,1.6,1.125,1.3,0.25,-0.6000000000000001,-0.17500000000000004
13,Cuiabá,0.6,0.6,1.0,1.6,0.8,1.1,0.0,-0.6000000000000001,-0.30000000000000004
14,Ceará,1.0,1.75,1.0,1.0,1.0,1.375,-0.75,0.0,-0.375
15,Avaí,1.6,1.2,0.5,1.75,1.05,1.475,0.40000000000000013,-1.25,-0.42500000000000004
16,Athletico-PR,1.0,0.8,0.5,1.75,0.75,1.275,0.19999999999999996,-1.25,-0.5249999999999999
17,Atlético-GO,0.8,0.6,0.5,1.75,0.65,1.175,0.20000000000000007,-1.25,-0.525
18,Fortaleza,0.4,1.0,1.0,1.5,0.7,1.25,-0.6,-0.5,-0.55
19,Juventude,0.4,1.2,1.25,1.75,0.825,1.475,-0.7999999999999999,-0.5,-0.6500000000000001
