,clube,P
0,Palmeiras,73.25789236701652
1,Corinthians,64.0019280571339
2,Fluminense,58.13533417732626
3,Athletico-PR,57.3222885829156
4,Flamengo,57.06271722022701
5,Atlético-MG,56.6870487655655
6,Internacional,56.135152862087516
7,Santos,53.41374212868451
8,São Paulo,52.5877297614231
9,Bragantino,52.49415774598549
10,Ceará,46.89182037515366
11,Botafogo,46.380901297172
12,Goiás,45.470211858203214
13,Coritiba,42.55835571760736
14,Fortaleza,40.78591502209455
15,Atlético-GO,38.612976703919045
16,Avaí,38.45437712744829
17,Cuiabá,37.12516169029224
18,América-MG,36.129932846921264
19,Juventude,35.789892675387904
