,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Corinthians,Juventude,1.7,3.48,5.49,58.82352941176471,18.21493624772313,28.735632183908045
2,Cuiabá,Bragantino,3.04,2.94,2.58,32.89473684210527,38.75968992248062,34.01360544217687
4,Internacional,Flamengo,2.92,3.1,2.56,34.24657534246575,39.0625,32.25806451612903
6,São Paulo,América-MG,1.66,3.63,5.44,60.24096385542169,18.382352941176467,27.548209366391184
7,Coritiba,Palmeiras,4.3,3.51,1.85,23.25581395348837,54.05405405405405,28.49002849002849
8,Fortaleza,Athletico-PR,1.89,3.45,4.21,52.91005291005292,23.752969121140143,28.985507246376812
10,Juventude,Santos,2.45,2.97,3.19,40.81632653061224,31.347962382445143,33.67003367003367
11,Bragantino,Coritiba,2.1,3.12,3.56,47.61904761904761,28.08988764044944,32.05128205128205
12,Ceará,Atlético-MG,3.32,3.35,2.18,30.120481927710845,45.87155963302752,29.850746268656714
13,Flamengo,Cuiabá,1.31,4.99,10.13,76.33587786259541,9.871668311944717,20.040080160320638
14,Goiás,Internacional,2.63,2.95,2.79,38.02281368821293,35.842293906810035,33.89830508474576
15,Palmeiras,Atlético-GO,1.38,4.84,7.99,72.46376811594205,12.51564455569462,20.66115702479339
16,América-MG,Fluminense,2.42,3.0,3.2,41.32231404958678,31.25,33.33333333333333
17,Athletico-PR,Corinthians,2.32,3.01,3.37,43.10344827586207,29.673590504451035,33.222591362126245
18,Botafogo,São Paulo,2.7,3.29,2.49,37.03703703703704,40.16064257028112,30.3951367781155
19,Avaí,Fortaleza,2.36,3.04,3.1,42.37288135593221,32.25806451612903,32.89473684210527
