,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,47,35,11,24,11,1
1,Corinthians,38,26,17,9,10,2
2,Fluminense,33,25,20,5,11,3
3,Internacional,31,26,19,7,6,4
4,Atlético-MG,31,25,19,6,6,5
5,Athletico-PR,30,23,22,1,5,6
6,Flamengo,29,24,17,7,10,7
7,Bragantino,29,30,24,6,10,8
8,Santos,28,21,14,7,8,9
9,São Paulo,25,26,23,3,5,10
10,Ceará,25,22,22,0,7,11
11,Goiás,24,21,24,-3,6,12
12,Botafogo,23,18,24,-6,4,13
13,Avaí,23,19,28,-9,4,14
14,Coritiba,21,20,29,-9,5,15
15,América-MG,20,12,22,-10,4,16
16,Cuiabá,19,12,19,-7,5,17
17,Atlético-GO,19,17,26,-9,1,18
18,Fortaleza,18,14,20,-6,6,19
19,Juventude,18,15,30,-15,6,20
