,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Internacional,66.89166666666667,1,81.10999999999999,2,49.98166666666666,9
1,Botafogo,64.58166666666666,2,57.56166666666667,12,51.49166666666667,7
2,Palmeiras,59.654999999999994,3,74.08999999999999,3,62.67166666666666,1
3,Fluminense,58.19833333333333,4,71.81666666666666,4,35.56333333333333,16
4,São Paulo,58.035,5,50.943333333333335,13,53.835,5
5,Coritiba,56.163333333333334,6,61.58833333333333,8,33.76166666666666,17
6,Fortaleza,55.089999999999996,7,64.07333333333334,6,58.379999999999995,2
7,Atlético-MG,52.85499999999999,8,49.58166666666667,15,57.32666666666666,3
8,América-MG,51.70666666666667,9,61.19833333333333,10,50.38166666666666,8
9,Santos,51.04833333333334,10,71.52333333333333,5,42.33833333333333,11
10,Corinthians,49.855,11,60.71,11,39.10999999999999,12
11,Flamengo,44.69166666666666,12,87.27500000000002,1,54.526666666666664,4
12,Goiás,43.0,13,48.07333333333333,16,52.09166666666666,6
13,Cuiabá,42.906666666666666,14,50.45333333333334,14,30.198333333333334,19
14,Athletico-PR,42.23666666666667,15,61.309999999999995,9,37.01833333333334,13
15,Ceará,38.11000000000001,16,42.903333333333336,18,36.00166666666667,15
16,Bragantino,37.99999999999999,17,62.18166666666667,7,49.343333333333334,10
17,Juventude,35.81666666666666,18,47.945,17,20.761666666666667,20
18,Avaí,34.696666666666665,19,41.915,19,31.22,18
19,Atlético-GO,29.834999999999997,20,34.78,20,36.10833333333333,14
