,atleta_id,apelido,clube_id,xG_total,shots_total,jogos_num,goals_total,xG_per_match,G_per_match,xG_per_shot,shots_per_goal,clube,eficiência
0,100762,Bissoli,314,5.500593241510085,42,20,11,0.2750296620755043,0.55,0.13096650575024013,3.8181818181818183,Avaí,5.499406758489915
1,98225,Pedro Raul,290,6.864782055006492,54,18,12,0.381376780833694,0.6666666666666666,0.12712559361123132,4.5,Goiás,5.135217944993508
2,71684,Gustavo Gómez,275,2.1030713732705792,16,8,7,0.2628839216588224,0.875,0.1314419608294112,2.2857142857142856,Palmeiras,4.896928626729421
3,79631,Cano,266,8.751548309773225,71,22,13,0.39779765044423754,0.5909090909090909,0.12326124379962289,5.461538461538462,Fluminense,4.248451690226775
4,53865,Léo Gamalho,294,3.378696120224983,26,11,7,0.3071541927477257,0.6363636363636364,0.12994985077788396,3.7142857142857144,Coritiba,3.621303879775017
5,102878,Terans,293,3.6585551394319045,46,15,7,0.24390367596212698,0.4666666666666667,0.07953380737895445,6.571428571428571,Athletico-PR,3.3414448605680955
6,89840,Calleri,276,7.759119158069035,55,21,11,0.3694818646699541,0.5238095238095238,0.14107489378307336,5.0,São Paulo,3.2408808419309647
7,93478,Wanderson,285,2.8406847334682803,21,13,6,0.2185142102667908,0.46153846153846156,0.13527070159372764,3.5,Internacional,3.1593152665317197
8,100848,Luan Cândido,280,2.958422640476816,44,19,6,0.1557064547619377,0.3157894736842105,0.0672368781926549,7.333333333333333,Bragantino,3.041577359523184
9,90031,Mendoza,354,5.990310212709232,56,19,9,0.31527948487943325,0.47368421052631576,0.10696982522695056,6.222222222222222,Ceará,3.0096897872907684
10,99815,Arias,266,2.0492709095713066,22,15,5,0.1366180606380871,0.3333333333333333,0.09314867770778666,4.4,Fluminense,2.9507290904286934
11,73347,Elvis,290,1.136626483987801,12,8,4,0.14207831049847514,0.5,0.09471887366565009,3.0,Goiás,2.863373516012199
12,91607,Rony,275,5.230140337974463,43,17,8,0.3076553139984978,0.47058823529411764,0.12163117065056891,5.375,Palmeiras,2.769859662025537
13,38229,Fábio Santos,264,0.4853030629486841,3,2,3,0.24265153147434204,1.5,0.16176768764956137,1.0,Corinthians,2.514696937051316
14,63289,Edenílson,285,2.5489392738099856,27,12,5,0.21241160615083213,0.4166666666666667,0.09440515828925873,5.4,Internacional,2.4510607261900144
15,89226,Iago Maidana,327,0.5609242484241587,5,3,3,0.18697474947471956,1.0,0.11218484968483174,1.6666666666666667,América-MG,2.4390757515758414
16,69014,Manoel,266,1.6655552556900128,13,10,4,0.16655552556900127,0.4,0.1281196350530779,3.25,Fluminense,2.3344447443099874
17,94583,Pedro,262,4.769897197416916,32,14,7,0.34070694267263685,0.5,0.14905928741927862,4.571428571428571,Flamengo,2.230102802583084
18,39148,Hulk,282,5.781866926488379,73,20,8,0.28909334632441896,0.4,0.07920365652723807,9.125,Atlético-MG,2.2181330735116207
19,69705,Nikão,276,0.9161140571575412,12,8,3,0.11451425714469265,0.375,0.07634283809646177,4.0,São Paulo,2.0838859428424588
20,93787,Andrey,294,0.9269231027585486,17,6,3,0.15448718379309143,0.5,0.054524888397561685,5.666666666666667,Coritiba,2.0730768972414513
21,98219,Alemão,285,3.1236220810429276,23,13,5,0.24027862161868674,0.38461538461538464,0.1358096556975186,4.6,Internacional,1.8763779189570724
22,68690,André,1371,1.1764361785055024,14,9,3,0.13071513094505582,0.3333333333333333,0.08403115560753589,4.666666666666667,Cuiabá,1.8235638214944976
23,110270,Gustavo Mantuan,264,1.2124308626331528,14,9,3,0.13471454029257254,0.3333333333333333,0.08660220447379663,4.666666666666667,Corinthians,1.7875691373668472
24,42116,Willian,266,1.2315607306500356,8,7,3,0.17593724723571938,0.42857142857142855,0.15394509133125445,2.6666666666666665,Fluminense,1.7684392693499644
25,62977,Ganso,266,1.2466272031210117,15,10,3,0.12466272031210117,0.3,0.08310848020806745,5.0,Fluminense,1.7533727968789883
26,87552,Vitor Bueno,293,1.2484490400577906,16,9,3,0.13871656000642119,0.3333333333333333,0.07802806500361191,5.333333333333333,Athletico-PR,1.7515509599422094
27,38225,Muriqui,314,2.2660528098068724,14,9,4,0.25178364553409693,0.4444444444444444,0.16186091498620517,3.5,Avaí,1.7339471901931276
28,97450,Gustavo Mosquito,264,1.3387157796227467,10,6,3,0.22311929660379112,0.5,0.13387157796227467,3.3333333333333335,Corinthians,1.6612842203772533
29,90768,Fabrício Bruno,262,0.3398355702429836,3,2,2,0.1699177851214918,1.0,0.11327852341432787,1.5,Flamengo,1.6601644297570164
30,83433,Patrick,276,2.352310080600253,17,13,4,0.18094692927694253,0.3076923076923077,0.13837118121177958,4.25,São Paulo,1.6476899193997472
31,79631,0,266,0.3683933818797198,3,1,2,0.3683933818797198,2.0,0.1227977939599066,1.5,Fluminense,1.6316066181202802
32,71691,Óscar Ruíz,286,1.3868362283062143,14,10,3,0.13868362283062144,0.3,0.09905973059330102,4.666666666666667,Juventude,1.6131637716937857
33,53148,Ytalo,280,1.3953292234702657,11,7,3,0.19933274621003796,0.42857142857142855,0.1268481112245696,3.6666666666666665,Bragantino,1.6046707765297343
34,80287,Luciano,276,5.425039323758406,48,19,7,0.2855283854609687,0.3684210526315789,0.11302165257830012,6.857142857142857,São Paulo,1.5749606762415942
35,108422,Erison,263,5.503802151126258,47,19,7,0.2896737974276978,0.3684210526315789,0.11710217342821824,6.714285714285714,Botafogo,1.4961978488737424
36,98672,Savarino,282,0.5100094229321364,4,2,2,0.2550047114660682,1.0,0.1275023557330341,2.0,Atlético-MG,1.4899905770678636
37,109389,Raul Gustavo,264,0.5703242821116211,8,5,2,0.11406485642232422,0.4,0.07129053526395264,4.0,Corinthians,1.429675717888379
38,69375,Vidal,262,0.5774436955125006,3,2,2,0.2887218477562503,1.0,0.1924812318375002,1.5,Flamengo,1.4225563044874994
39,81161,Léo Baptistão ,277,3.5848435372268006,34,14,5,0.2560602526590572,0.35714285714285715,0.10543657462431766,6.8,Santos,1.4151564627731994
40,90444,Moisés,285,0.6060828841664603,7,7,2,0.08658326916663718,0.2857142857142857,0.08658326916663718,3.5,Internacional,1.3939171158335397
41,98289,Churín,373,2.6659166621679566,26,15,4,0.17772777747786378,0.26666666666666666,0.1025352562372291,6.5,Atlético-GO,1.3340833378320434
42,111682,Adson,264,1.6698301939535163,16,10,3,0.16698301939535162,0.3,0.10436438712209477,5.333333333333333,Corinthians,1.3301698060464837
43,104778,Adrián Martínez,294,2.740688145923277,19,13,4,0.2108221650710213,0.3076923076923077,0.14424674452227773,4.75,Coritiba,1.259311854076723
44,93790,Marlon Freitas,373,1.7513299763681873,23,14,3,0.12509499831201337,0.21428571428571427,0.07614478158122553,7.666666666666667,Atlético-GO,1.2486700236318127
45,50347,Alan Kardec,282,0.8729665592812228,7,4,2,0.2182416398203057,0.5,0.12470950846874611,3.5,Atlético-MG,1.1270334407187772
46,103767,Gabriel Menino,275,0.8834798264191104,16,9,2,0.09816442515767893,0.2222222222222222,0.0552174891511944,8.0,Palmeiras,1.1165201735808896
47,107110,Natan,280,0.9377442650489536,9,9,2,0.10419380722766151,0.2222222222222222,0.10419380722766151,4.5,Bragantino,1.0622557349510464
48,116034,Victor Hugo,262,0.9907838758185913,7,6,2,0.1651306459697652,0.3333333333333333,0.14154055368837018,3.5,Flamengo,1.0092161241814086
49,84817,Robson,356,3.0078644578899403,31,14,4,0.21484746127785287,0.2857142857142857,0.09702788573838517,7.75,Fortaleza,0.9921355421100597
