,clube,xGA_geral
0,Flamengo,0.9131569587652308
1,Atlético-MG,0.9385464717341903
2,Palmeiras,1.0769299484352588
3,Fluminense,1.083214494282869
4,Fortaleza,1.0901112894392075
5,Internacional,1.127373460057373
6,Cuiabá,1.1496433406683817
7,Corinthians,1.159496592313471
8,São Paulo,1.2082909448718557
9,Bragantino,1.2340899098622957
10,Ceará,1.2949806965919837
11,Atlético-GO,1.341812075720139
12,Botafogo,1.3501924951760262
13,América-MG,1.3612674107553573
14,Coritiba,1.396410152719974
15,Juventude,1.4807175700927886
16,Santos,1.494268911432235
17,Athletico-PR,1.5418756856880147
18,Avaí,1.565239702368243
19,Goiás,1.6540414479265064
