,clube,P
0,Palmeiras,79.43414521501542
1,Corinthians,64.1011062522149
2,Internacional,59.799949689800684
3,Fluminense,56.20540781926478
4,Athletico-PR,54.4720740425333
5,Atlético-MG,54.151006037132944
6,Flamengo,53.44304671070236
7,Botafogo,51.200263826340155
8,São Paulo,50.94354959553623
9,Bragantino,50.41368593856015
10,Santos,48.21640817900098
11,América-MG,43.331923885341986
12,Ceará,43.09583268965166
13,Coritiba,42.657803225971165
14,Fortaleza,42.622037880380255
15,Goiás,42.36648391298047
16,Avaí,37.743211878469495
17,Atlético-GO,37.71015303132014
18,Cuiabá,35.10765338664892
19,Juventude,31.909276108389367
