,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,58,40,14,26,9,1
1,Corinthians,44,29,21,8,4,2
2,Fluminense,43,29,23,6,8,3
3,Internacional,42,31,22,9,9,4
4,Atlético-MG,39,28,21,7,6,5
5,Athletico-PR,39,27,25,2,7,6
6,Bragantino,36,34,28,6,5,7
7,Flamengo,35,27,21,6,4,8
8,São Paulo,34,30,25,5,7,9
9,Botafogo,34,23,25,-2,9,10
10,Ceará,33,25,26,-1,6,11
11,Goiás,33,25,27,-2,7,12
12,Santos,32,23,19,4,2,13
13,Avaí,32,22,30,-8,7,14
14,América-MG,31,15,22,-7,9,15
15,Coritiba,28,22,33,-11,5,16
16,Cuiabá,25,15,23,-8,4,17
17,Juventude,24,18,34,-16,4,18
18,Fortaleza,23,17,26,-9,3,19
19,Atlético-GO,23,18,32,-14,2,20
