,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Goiás,Avaí,2.02,3.27,3.89,49.504950495049506,25.70694087403599,30.58103975535168
1,Corinthians,Palmeiras,3.27,3.14,2.35,30.58103975535168,42.5531914893617,31.84713375796178
2,Cuiabá,Juventude,2.2,3.04,3.68,45.45454545454545,27.173913043478258,32.89473684210527
3,Botafogo,Atlético-GO,2.13,3.23,3.57,46.948356807511736,28.011204481792717,30.959752321981426
4,Coritiba,Atlético-MG,4.05,3.35,1.95,24.69135802469136,51.28205128205129,29.850746268656714
5,Ceará,Fortaleza,2.41,3.07,3.17,41.49377593360995,31.545741324921135,32.57328990228013
6,Flamengo,Athletico-PR,1.42,4.53,7.27,70.42253521126761,13.755158184319122,22.075055187637968
7,São Paulo,Bragantino,2.08,3.29,3.65,48.07692307692307,27.397260273972602,30.3951367781155
8,América-MG,Santos,2.27,3.11,3.37,44.052863436123346,29.673590504451035,32.154340836012864
9,Internacional,Fluminense,2.53,3.16,2.93,39.52569169960475,34.129692832764505,31.645569620253163
