,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1850,Andrey,93787,Coritiba,MEI,14.533333333333333,5.0,Corinthians,mandante,3.066666666666667,8.8
1851,Marcelo Lomba,68872,Palmeiras,GOL,10.0,5.5,América-MG,mandante,5.705555555555556,7.852777777777778
1852,Cano,79631,Fluminense,ATA,10.916666666666664,4.217647058823529,Goiás,mandante,2.8055555555555554,6.86111111111111
1853,Savarino,98672,Atlético-MG,ATA,10.450000000000001,-0.1,Cuiabá,mandante,3.1666666666666665,6.808333333333334
1854,Vanderlan,107236,Palmeiras,LAT,7.9,2.983333333333333,América-MG,mandante,5.705555555555556,6.802777777777778
1855,Gustavo Gómez,71684,Palmeiras,ZAG,7.5375000000000005,5.1454545454545455,América-MG,mandante,5.705555555555556,6.621527777777779
1856,Raphael Veiga,94509,Palmeiras,MEI,7.160000000000001,1.7625,América-MG,mandante,5.705555555555556,6.432777777777778
1857,Piquerez,102130,Palmeiras,LAT,6.807142857142857,4.540000000000001,América-MG,mandante,5.705555555555556,6.256349206349206
1858,Abel Ferreira,110506,Palmeiras,TEC,6.727777777777777,5.440625000000001,América-MG,mandante,5.705555555555556,6.216666666666667
1859,Juninho Capixaba,94968,Fortaleza,LAT,8.914285714285715,4.817647058823529,Bragantino,mandante,3.5,6.207142857142857
1860,Toró,101885,São Paulo,ATA,7.9,0.0,Internacional,mandante,4.272222222222222,6.086111111111111
1861,Sasha,68991,Fortaleza,MEI,8.6,4.0,Bragantino,mandante,3.5,6.05
1862,Igor Rabello,89493,Atlético-MG,ZAG,8.75,3.866666666666667,Cuiabá,mandante,3.1666666666666665,5.958333333333333
1863,Dudu,68920,Palmeiras,ATA,6.177777777777778,4.18125,América-MG,mandante,5.705555555555556,5.941666666666666
1864,Calleri,89840,São Paulo,ATA,7.587499999999999,4.5875,Internacional,mandante,4.272222222222222,5.92986111111111
1865,Rony,91607,Palmeiras,ATA,6.1,5.050000000000002,América-MG,mandante,5.705555555555556,5.902777777777778
1866,Kayque,110962,Botafogo,MEI,7.15,0.5333333333333333,Santos,mandante,4.6,5.875
1867,Gustavo Scarpa,87999,Palmeiras,MEI,6.017647058823529,6.935714285714285,América-MG,mandante,5.705555555555556,5.8616013071895425
1868,Tiquinho Soares,84042,Botafogo,ATA,6.933333333333333,8.419999999999998,Santos,mandante,4.6,5.766666666666666
1869,Luan,80692,Palmeiras,ZAG,5.7,3.7125,América-MG,mandante,5.705555555555556,5.7027777777777775
1870,Mayke,81150,Palmeiras,LAT,5.6866666666666665,3.44,América-MG,mandante,5.705555555555556,5.696111111111112
1871,Marcos Rocha,63013,Palmeiras,LAT,5.676923076923076,6.341666666666668,América-MG,mandante,5.705555555555556,5.691239316239316
1872,Murilo,97653,Palmeiras,ZAG,5.2875000000000005,6.683333333333334,América-MG,mandante,5.705555555555556,5.496527777777779
1873,Zé Rafael,82455,Palmeiras,MEI,5.158823529411765,4.9,América-MG,mandante,5.705555555555556,5.432189542483661
1874,Bissoli,100762,Avaí,ATA,5.935294117647059,4.191666666666667,Ceará,mandante,4.794117647058823,5.364705882352942
1875,Moraes,95058,Juventude,LAT,7.128571428571428,2.81,Flamengo,mandante,3.5833333333333335,5.355952380952381
1876,Kuscevic,98619,Palmeiras,ZAG,5.0,6.2250000000000005,América-MG,mandante,5.705555555555556,5.352777777777778
1877,Hulk,39148,Atlético-MG,ATA,7.453846153846156,6.5249999999999995,Cuiabá,mandante,3.1666666666666665,5.310256410256411
1878,Víctor Cuesta,79113,Botafogo,ZAG,5.892307692307692,5.015384615384615,Santos,mandante,4.6,5.246153846153845
1879,Yago Pikachu,80196,Fortaleza,MEI,6.985714285714286,2.8000000000000003,Bragantino,mandante,3.5,5.242857142857143
1880,Endrick,115959,Palmeiras,ATA,4.75,0.0,América-MG,mandante,5.705555555555556,5.227777777777778
1881,Weverton,71631,Palmeiras,GOL,4.705882352941177,4.1571428571428575,América-MG,mandante,5.705555555555556,5.205718954248367
1882,Igor Paixão,104530,Coritiba,ATA,7.324999999999999,5.511111111111111,Corinthians,mandante,3.066666666666667,5.195833333333333
1883,Gabriel Veron,103764,Palmeiras,ATA,4.6000000000000005,3.8,América-MG,mandante,5.705555555555556,5.152777777777779
1884,Rafael,68928,Atlético-MG,GOL,7.0,0.0,Cuiabá,mandante,3.1666666666666665,5.083333333333333
1885,Luiz Henrique,109282,Fluminense,ATA,7.3428571428571425,5.3999999999999995,Goiás,mandante,2.8055555555555554,5.074206349206349
1886,Marçal,97468,Botafogo,LAT,5.35,4.6625000000000005,Santos,mandante,4.6,4.975
1887,Rodrigo Nestor,106822,São Paulo,MEI,5.499999999999999,1.9357142857142857,Internacional,mandante,4.272222222222222,4.886111111111111
1888,Kazu,95657,Avaí,MEI,0.0,0.0,Ceará,mandante,4.794117647058823,4.794117647058823
1889,Natanael,86264,Avaí,LAT,4.6499999999999995,4.45,Ceará,mandante,4.794117647058823,4.722058823529411
1890,Muriqui,38225,Avaí,ATA,4.592307692307693,1.2090909090909092,Ceará,mandante,4.794117647058823,4.693212669683258
1891,Brítez,101995,Fortaleza,LAT,5.85,5.220000000000001,Bragantino,mandante,3.5,4.675
1892,Patrick,83433,São Paulo,MEI,5.042857142857143,3.5428571428571436,Internacional,mandante,4.272222222222222,4.657539682539682
1893,Marcelo Boeck,37788,Fortaleza,GOL,5.7,0.8571428571428571,Bragantino,mandante,3.5,4.6
1894,Douglas Borges,78893,Botafogo,GOL,0.0,0.0,Santos,mandante,4.6,4.6
1895,Fernando Miguel,71571,Fortaleza,GOL,5.666666666666667,6.444444444444445,Bragantino,mandante,3.5,4.583333333333334
1896,Alef Manga,101254,Coritiba,ATA,6.1000000000000005,3.45,Corinthians,mandante,3.066666666666667,4.583333333333334
1897,Guga,101319,Atlético-MG,LAT,5.945454545454544,3.7125,Cuiabá,mandante,3.1666666666666665,4.556060606060606
1898,Saravia,96725,Botafogo,LAT,4.5,5.254545454545454,Santos,mandante,4.6,4.55
1899,Egídio,42145,Coritiba,LAT,5.999999999999999,2.72,Corinthians,mandante,3.066666666666667,4.533333333333333
1900,Welington ,106824,São Paulo,LAT,4.76,3.0000000000000004,Internacional,mandante,4.272222222222222,4.516111111111111
1901,Antonio Mohamed,71071,Atlético-MG,TEC,5.7811111111111115,4.9675,Cuiabá,mandante,3.1666666666666665,4.473888888888889
1902,Vitor Ricardo,107226,Fortaleza,LAT,5.4,-0.85,Bragantino,mandante,3.5,4.45
1903,Marcio Silva,111204,Coritiba,ZAG,5.8,1.7,Corinthians,mandante,3.066666666666667,4.433333333333334
1904,Felipe Alves,72372,São Paulo,GOL,4.571428571428571,5.714285714285714,Internacional,mandante,4.272222222222222,4.421825396825397
1905,Michel Araújo ,107173,Fluminense,MEI,6.033333333333334,0.8,Goiás,mandante,2.8055555555555554,4.419444444444444
1906,Lisca,72588,Avaí,TEC,4.03,3.8600000000000003,Ceará,mandante,4.794117647058823,4.412058823529412
1907,Dodô,68727,Atlético-MG,LAT,5.633333333333333,2.7,Cuiabá,mandante,3.1666666666666665,4.3999999999999995
1908,Baralhas,99440,Atlético-GO,MEI,4.976923076923076,3.59375,Athletico-PR,mandante,3.8055555555555554,4.391239316239316
1909,Wellington Rato,82766,Atlético-GO,MEI,4.976470588235294,4.9125000000000005,Athletico-PR,mandante,3.8055555555555554,4.391013071895425
1910,Wesley,105811,Palmeiras,ATA,3.0625,1.7727272727272727,América-MG,mandante,5.705555555555556,4.384027777777778
1911,Habraão,115270,Fortaleza,ZAG,5.25,5.933333333333333,Bragantino,mandante,3.5,4.375
1912,Guto Ferreira,37245,Coritiba,TEC,5.598333333333333,3.2457142857142856,Corinthians,mandante,3.066666666666667,4.3325
1913,Natanael,107554,Coritiba,LAT,5.581818181818181,1.936363636363636,Corinthians,mandante,3.066666666666667,4.324242424242424
1914,Rogério Ceni,97341,São Paulo,TEC,4.3637500000000005,3.782222222222222,Internacional,mandante,4.272222222222222,4.317986111111111
1915,Danilo,107231,Palmeiras,MEI,2.91764705882353,1.907692307692308,América-MG,mandante,5.705555555555556,4.311601307189543
1916,Chay,104926,Botafogo,MEI,4.014285714285714,1.24,Santos,mandante,4.6,4.307142857142857
1917,Morato,86227,Avaí,ATA,3.7875,2.3666666666666667,Ceará,mandante,4.794117647058823,4.290808823529412
