,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Juventude,Santos,2.51,2.95,3.16,39.8406374501992,31.645569620253163,33.89830508474576
1,Bragantino,Coritiba,1.76,3.58,4.89,56.81818181818182,20.449897750511248,27.932960893854748
2,Ceará,Atlético-MG,3.45,3.2,2.22,28.985507246376812,45.04504504504504,31.25
3,Flamengo,Cuiabá,1.32,5.08,10.14,75.75757575757575,9.861932938856015,19.685039370078737
4,Goiás,Internacional,3.06,3.08,2.48,32.6797385620915,40.322580645161295,32.467532467532465
5,América-MG,Fluminense,2.41,3.07,3.22,41.49377593360995,31.05590062111801,32.57328990228013
6,Athletico-PR,Corinthians,2.41,3.02,3.3,41.49377593360995,30.303030303030305,33.11258278145696
7,Botafogo,São Paulo,3.05,3.19,2.41,32.786885245901644,41.49377593360995,31.347962382445143
8,Palmeiras,Atlético-GO,1.36,4.92,8.49,73.52941176470587,11.77856301531213,20.32520325203252
9,Avaí,Fortaleza,2.98,3.11,2.51,33.557046979865774,39.8406374501992,32.154340836012864
10,Atlético-GO,Juventude,1.98,3.19,4.19,50.505050505050505,23.86634844868735,31.347962382445143
11,Cuiabá,Ceará,2.8,3.11,2.64,35.714285714285715,37.878787878787875,32.154340836012864
12,Santos,Bragantino,2.29,3.19,3.26,43.66812227074236,30.67484662576687,31.347962382445143
13,Atlético-MG,Flamengo,2.13,3.42,3.38,46.948356807511736,29.585798816568047,29.239766081871345
14,Corinthians,Goiás,1.59,3.71,6.23,62.893081761006286,16.051364365971107,26.954177897574123
15,Coritiba,Athletico-PR,2.43,3.1,3.09,41.15226337448559,32.36245954692557,32.25806451612903
16,Fortaleza,América-MG,1.98,3.35,3.92,50.505050505050505,25.510204081632654,29.850746268656714
17,Internacional,Botafogo,1.8,3.46,4.68,55.55555555555556,21.36752136752137,28.901734104046245
18,Fluminense,Avaí,1.57,3.86,6.13,63.69426751592356,16.31321370309951,25.90673575129534
