,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
1,Flamengo,1.6666666666666667,0.6666666666666666,1.0,1.5
2,Botafogo,1.0,1.2857142857142858,1.125,1.25
3,Corinthians,1.1428571428571428,0.2857142857142857,1.0,1.5
4,Fluminense,1.75,1.125,0.7142857142857143,0.5714285714285714
5,Palmeiras,2.0,0.75,1.8333333333333333,0.6666666666666666
6,São Paulo,1.7142857142857142,1.0,1.0,1.25
7,Santos,1.5,1.0,1.0,0.8571428571428571
8,Bragantino,1.375,1.0,1.1428571428571428,1.5714285714285714
9,Atlético-MG,1.75,1.0,1.2857142857142858,1.2857142857142858
10,Internacional,1.8571428571428572,1.1428571428571428,1.125,0.875
11,Juventude,0.625,1.625,0.8571428571428571,1.7142857142857142
12,Goiás,1.1428571428571428,1.0,0.75,1.375
13,Athletico-PR,1.4285714285714286,1.0,1.0,1.0
14,Coritiba,1.375,0.875,1.0,2.142857142857143
15,Avaí,1.75,1.5,0.5714285714285714,1.5714285714285714
16,América-MG,1.2857142857142858,0.7142857142857143,0.375,1.5
17,Ceará,0.8571428571428571,1.2857142857142858,1.0,0.75
18,Fortaleza,0.5,0.75,1.2857142857142858,2.0
19,Atlético-GO,1.25,0.875,0.8571428571428571,1.7142857142857142
20,Cuiabá,0.5714285714285714,0.5714285714285714,0.875,1.5
