,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
3,Santos,Avaí,1.4,4.6,8.18,71.42857142857143,12.224938875305625,21.73913043478261
5,Goiás,Juventude,1.78,3.61,4.67,56.17977528089888,21.413276231263385,27.70083102493075
10,Cuiabá,Palmeiras,3.9,3.58,1.91,25.641025641025646,52.35602094240838,27.932960893854748
12,São Paulo,Internacional,2.16,3.28,3.39,46.29629629629629,29.49852507374631,30.48780487804878
13,Avaí,Ceará,3.7,3.24,2.06,27.027027027027025,48.54368932038835,30.864197530864196
14,Coritiba,Corinthians,2.8,2.98,2.68,35.714285714285715,37.31343283582089,33.557046979865774
15,Fluminense,Goiás,1.4,4.54,7.87,71.42857142857143,12.706480304955528,22.026431718061673
16,Atlético-GO,Athletico-PR,2.26,3.35,3.1,44.24778761061947,32.25806451612903,29.850746268656714
17,Fortaleza,Bragantino,1.86,3.4,4.25,53.76344086021505,23.52941176470588,29.411764705882355
18,Juventude,Flamengo,5.44,3.97,1.6,18.382352941176467,62.5,25.188916876574307
19,Palmeiras,América-MG,1.39,4.94,7.14,71.94244604316548,14.005602240896359,20.242914979757085
20,Atlético-MG,Cuiabá,1.5,4.15,6.56,66.66666666666666,15.24390243902439,24.096385542168672
21,Botafogo,Santos,2.26,3.37,3.12,44.24778761061947,32.05128205128205,29.673590504451035
