,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,São Paulo,Avaí,1.46,4.32,6.9,68.4931506849315,14.492753623188406,23.148148148148145
1,Santos,Athletico-PR,1.96,3.48,3.87,51.02040816326531,25.839793281653744,28.735632183908045
2,Corinthians,Atlético-GO,1.55,3.79,6.54,64.51612903225806,15.29051987767584,26.385224274406333
3,Coritiba,Ceará,2.41,3.22,2.96,41.49377593360995,33.78378378378378,31.05590062111801
4,Fluminense,Juventude,1.36,4.74,8.48,73.52941176470587,11.792452830188678,21.097046413502106
5,Fortaleza,Flamengo,3.47,3.39,2.09,28.818443804034583,47.84688995215311,29.49852507374631
6,Cuiabá,América-MG,2.27,3.14,3.3,44.052863436123346,30.303030303030305,31.84713375796178
7,Atlético-MG,Palmeiras,2.32,3.37,3.07,43.10344827586207,32.57328990228013,29.673590504451035
8,Goiás,Botafogo,2.48,3.22,2.85,40.322580645161295,35.08771929824561,31.05590062111801
10,Internacional,Santos,1.94,3.37,3.67,51.54639175257733,27.247956403269757,29.673590504451035
