,mandante,visitante,odds_mandante,odds_empate,odds_visitante
0,Fortaleza,Ceará,2.36,3.09,3.26
1,América-MG,Cuiabá,1.86,3.33,4.57
2,Athletico-PR,Santos,1.92,3.32,4.2
3,Avaí,São Paulo,4.03,3.21,2.01
4,Ceará,Coritiba,1.77,3.61,4.6
5,Atlético-GO,Corinthians,2.93,3.11,2.52
6,Juventude,Fluminense,2.9,3.01,2.63
7,Flamengo,Fortaleza,1.49,4.29,6.7
8,Palmeiras,Atlético-MG,2.34,3.25,3.15
9,Bragantino,Internacional,2.18,3.21,3.45
10,Botafogo,Goiás,1.74,3.48,5.1
