,clube,P
0,Palmeiras,79.1069664344267
1,Corinthians,62.775700449374916
2,Fluminense,59.902310505035594
3,Internacional,58.70547786438049
4,Athletico-PR,56.5243594104518
5,Atlético-MG,53.10553043835636
6,Flamengo,52.227650856475826
7,São Paulo,51.38975996878917
8,Bragantino,49.57398085033712
9,Santos,48.180283400312554
10,Botafogo,47.612193742553266
11,Ceará,43.45505320263156
12,Goiás,43.18313214764462
13,América-MG,41.97863042754206
14,Coritiba,41.77066735257141
15,Fortaleza,41.36371806337163
16,Avaí,39.50072494020355
17,Cuiabá,37.119987525750325
18,Atlético-GO,36.11230335718443
19,Juventude,32.86408526595617
