,clube,xP,ranking_xp
0,Atlético-MG,34.370000000000005,1
1,Palmeiras,33.32,2
2,Flamengo,33.080000000000005,3
3,Fluminense,30.12,4
4,Internacional,29.81,5
5,Fortaleza,28.869999999999997,6
6,São Paulo,27.99,7
7,Bragantino,27.790000000000003,8
8,Atlético-GO,26.61,9
9,Ceará,25.389999999999997,10
10,Coritiba,25.26,11
11,Corinthians,24.700000000000003,12
12,América-MG,23.9,13
13,Botafogo,23.249999999999996,14
14,Santos,23.22,15
15,Juventude,22.85,16
16,Cuiabá,22.360000000000003,17
17,Athletico-PR,20.72,18
18,Avaí,20.339999999999996,19
19,Goiás,18.27,20
