,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1110,Andrey,93787,Coritiba,MEI,13.65,4.0,América-MG,mandante,6.333333333333333,9.991666666666667
1111,Calleri,89840,São Paulo,ATA,18.05,5.066666666666666,Cuiabá,mandante,1.6666666666666667,9.858333333333334
1112,Léo Gamalho,53865,Coritiba,ATA,13.3,5.1,América-MG,mandante,6.333333333333333,9.816666666666666
1113,Savarino,98672,Atlético-MG,ATA,10.450000000000001,-0.1,Atlético-GO,mandante,7.6,9.025
1114,Lima,96340,Ceará,MEI,10.8,4.15,Flamengo,mandante,6.5,8.65
1115,Hulk,39148,Atlético-MG,ATA,9.633333333333333,6.5,Atlético-GO,mandante,7.6,8.616666666666667
1116,Elvis,73347,Goiás,MEI,12.9,5.8,Santos,mandante,3.5,8.2
1117,Cris Silva,89668,Fluminense,LAT,8.9,5.7,Athletico-PR,mandante,7.5,8.2
1118,Calebe,109461,Atlético-MG,MEI,0.0,0.0,Atlético-GO,mandante,7.6,7.6
1119,Chay,104926,Botafogo,MEI,9.1,1.0,Fortaleza,mandante,6.0,7.55
1120,Willian,42116,Fluminense,ATA,0.0,0.26666666666666666,Athletico-PR,mandante,7.5,7.5
1121,Egídio,42145,Coritiba,LAT,8.5,4.65,América-MG,mandante,6.333333333333333,7.416666666666666
1122,Diego Gonçalves,90540,Botafogo,ATA,8.600000000000001,1.5666666666666664,Fortaleza,mandante,6.0,7.300000000000001
1123,Nino,91708,Fluminense,ZAG,7.1,3.5,Athletico-PR,mandante,7.5,7.3
1124,Rubens,110727,Atlético-MG,MEI,6.9,1.3,Atlético-GO,mandante,7.6,7.25
1125,Nacho Fernández,94916,Atlético-MG,MEI,6.6499999999999995,4.3,Atlético-GO,mandante,7.6,7.125
1126,Igor Paixão,104530,Coritiba,ATA,7.85,9.166666666666666,América-MG,mandante,6.333333333333333,7.091666666666667
1127,Gustavo Morínigo,88881,Coritiba,TEC,7.445,3.9033333333333338,América-MG,mandante,6.333333333333333,6.889166666666666
1128,Antonio Mohamed,71071,Atlético-MG,TEC,5.9433333333333325,5.025,Atlético-GO,mandante,7.6,6.7716666666666665
1129,Zaracho,100079,Atlético-MG,MEI,5.9,7.1000000000000005,Atlético-GO,mandante,7.6,6.75
1130,Nathan Silva,95794,Atlético-MG,ZAG,5.5,4.55,Atlético-GO,mandante,7.6,6.55
1131,Junior Alonso,88312,Atlético-MG,ZAG,5.366666666666667,4.1,Atlético-GO,mandante,7.6,6.483333333333333
1132,Ademir,101314,Atlético-MG,ATA,5.333333333333333,6.8999999999999995,Atlético-GO,mandante,7.6,6.466666666666667
1133,Zé Rafael,82455,Palmeiras,MEI,10.433333333333334,5.1,Bragantino,mandante,2.5,6.466666666666667
1134,Muriqui,38225,Avaí,ATA,10.4,6.0,Juventude,mandante,2.5,6.45
1135,Alef Manga,101254,Coritiba,ATA,6.45,1.1666666666666667,América-MG,mandante,6.333333333333333,6.391666666666667
1136,André,107498,Fluminense,MEI,5.05,-3.1,Athletico-PR,mandante,7.5,6.275
1137,Cano,79631,Fluminense,ATA,4.75,2.6999999999999997,Athletico-PR,mandante,7.5,6.125
1138,Nonato,100987,Fluminense,MEI,4.7,5.0,Athletico-PR,mandante,7.5,6.1
1139,Fábio,37656,Fluminense,GOL,4.5,3.6666666666666665,Athletico-PR,mandante,7.5,6.0
1140,Guga,101319,Atlético-MG,LAT,4.25,4.2,Atlético-GO,mandante,7.6,5.925
1141,Fabrício,105171,Coritiba,ATA,5.45,6.35,América-MG,mandante,6.333333333333333,5.891666666666667
1142,Raphael Veiga,94509,Palmeiras,MEI,9.266666666666666,3.0,Bragantino,mandante,2.5,5.883333333333333
1143,Jair,81091,Atlético-MG,MEI,4.166666666666667,0.5,Atlético-GO,mandante,7.6,5.883333333333333
1144,Richard Coelho,86711,Ceará,MEI,5.2,0.75,Flamengo,mandante,6.5,5.85
1145,Calegari,104276,Fluminense,LAT,4.15,4.3,Athletico-PR,mandante,7.5,5.825
1146,Abel Braga,40006,Fluminense,TEC,4.135,4.9,Athletico-PR,mandante,7.5,5.8175
1147,Everson,72294,Atlético-MG,GOL,4.0,3.0,Atlético-GO,mandante,7.6,5.8
1148,Mariano,38877,Atlético-MG,LAT,3.9,7.2,Atlético-GO,mandante,7.6,5.75
1149,Guilherme Arana,87228,Atlético-MG,LAT,3.85,4.9,Atlético-GO,mandante,7.6,5.725
1150,Godín,69299,Atlético-MG,ZAG,3.8,0.0,Atlético-GO,mandante,7.6,5.699999999999999
1151,Guillermo de los Santos,87238,Coritiba,ZAG,5.0,1.7,América-MG,mandante,6.333333333333333,5.666666666666666
1152,Willian Farias,63058,Coritiba,MEI,4.85,3.8333333333333335,América-MG,mandante,6.333333333333333,5.591666666666667
1153,Hugo,109668,Botafogo,LAT,5.1,5.8,Fortaleza,mandante,6.0,5.55
1154,Apodi,51042,Goiás,MEI,7.6,1.7333333333333334,Santos,mandante,3.5,5.55
1155,Matheus Alexandre,103347,Coritiba,LAT,4.5,3.5333333333333337,América-MG,mandante,6.333333333333333,5.416666666666666
1156,Luciano,80287,São Paulo,ATA,9.05,7.6,Cuiabá,mandante,1.6666666666666667,5.358333333333333
1157,Luciano Castán,68942,Coritiba,ZAG,4.25,0.5,América-MG,mandante,6.333333333333333,5.291666666666666
1158,Wescley,70925,Ceará,MEI,3.9,0.0,Flamengo,mandante,6.5,5.2
1159,Patrick de Paula,107172,Botafogo,MEI,4.25,4.199999999999999,Fortaleza,mandante,6.0,5.125
1160,Dudu,68920,Palmeiras,ATA,7.733333333333333,2.0,Bragantino,mandante,2.5,5.116666666666667
1161,Warley,104646,Coritiba,LAT,3.9,0.0,América-MG,mandante,6.333333333333333,5.116666666666666
1162,Yago Felipe,87747,Fluminense,MEI,2.7,1.5666666666666667,Athletico-PR,mandante,7.5,5.1
1163,Gustavo Gómez,71684,Palmeiras,ZAG,7.566666666666666,4.4,Bragantino,mandante,2.5,5.033333333333333
