,apelido,atleta_id,clube,posicao,media_casa,media_fora
0,Abel Ferreira,110506,Palmeiras,TEC,6.465,5.733333333333333
1,Abner Vinícius,104513,Athletico-PR,LAT,0.9,2.3
2,Ademir,101314,Atlético-MG,ATA,2.733333333333334,1.5499999999999998
3,Aderlan,88423,Bragantino,LAT,2.6333333333333333,3.4
4,Adrián Martínez,104778,Coritiba,ATA,0.36666666666666664,8.55
5,Adson,111682,Corinthians,MEI,7.1000000000000005,0.3
6,Airton,106107,Atlético-GO,ATA,4.449999999999999,3.5333333333333337
7,Alan Patrick,68685,Internacional,MEI,4.8,5.800000000000001
8,Alef Manga,101254,Coritiba,ATA,6.625,3.9000000000000004
9,Alemão,98219,Internacional,ATA,3.3,2.6666666666666665
10,Alerrandro,101715,Bragantino,ATA,3.25,6.3999999999999995
11,Alex Muralha,79066,Coritiba,GOL,3.2,4.0
12,Alexandre Jesus,107044,Fluminense,ATA,1.75,-0.4
13,Allan,96652,Atlético-MG,MEI,1.3333333333333333,0.7999999999999999
14,Aloísio,73850,América-MG,ATA,3.1333333333333333,2.3666666666666667
15,Alê,86388,América-MG,MEI,2.8,4.65
16,Andreas Pereira,89274,Flamengo,MEI,1.5333333333333332,5.3
17,André,68690,Cuiabá,ATA,6.949999999999999,4.35
18,André,107498,Fluminense,MEI,5.975,1.8
19,André Anderson,106803,São Paulo,MEI,0.9,-0.1
20,André Luís,92146,Cuiabá,ATA,2.8499999999999996,1.55
21,Andrés,110517,São Paulo,MEI,3.1,0.0
22,Andrés Hurtado,110715,Bragantino,LAT,-0.44999999999999996,0.7
23,Antonio Mohamed,71071,Atlético-MG,TEC,5.163333333333333,4.7725
24,António Oliveira,111578,Cuiabá,TEC,3.995,2.2966666666666664
25,Arboleda,91573,São Paulo,ZAG,0.9,4.1
26,Arias,99815,Fluminense,MEI,7.4,2.7
27,Arrascaeta,87863,Flamengo,MEI,11.65,0.9500000000000001
28,Arthur Chaves,111412,Avaí,ZAG,0.12499999999999997,4.35
29,Arthur Henrique,86629,Atlético-GO,LAT,0.19999999999999998,-1.9
30,Artur,95799,Bragantino,ATA,6.175,6.966666666666668
31,Atuesta ,96754,Palmeiras,MEI,0.6666666666666666,-0.3
32,Auremir,77570,Goiás,MEI,2.9499999999999997,-0.9
33,Auro,88540,Santos,LAT,1.0,-0.35000000000000003
34,Ayrton Lucas,88393,Flamengo,LAT,9.733333333333333,1.375
35,Baralhas,99440,Atlético-GO,MEI,5.6,-0.39999999999999997
36,Barreto,89224,Botafogo,MEI,3.9,0.0
37,Bento,105208,Athletico-PR,GOL,2.0,7.0
38,Bernardo,112368,Coritiba,MEI,1.4000000000000001,1.65
39,Bissoli,100762,Avaí,ATA,7.075,4.8999999999999995
40,Breno Lopes,93988,Palmeiras,ATA,0.3333333333333333,2.25
41,Bressan,72491,Avaí,ZAG,-1.6500000000000001,2.2
42,Bruno Cortez,72079,Avaí,LAT,1.75,3.6999999999999997
43,Bruno Henrique,90285,Flamengo,ATA,2.5999999999999996,10.3
44,Bruno Oliveira,103996,Santos,MEI,3.2999999999999994,5.7
45,Bruno Pacheco,90061,Ceará,LAT,6.15,4.6499999999999995
46,Bruno Silva,68698,Avaí,MEI,4.5,3.0333333333333337
47,Bruno Tubarão,93637,Bragantino,ATA,-0.7000000000000001,0.0
48,Bryan Angulo,89435,Santos,ATA,3.6,2.0
49,Bustos,96678,Internacional,LAT,6.65,4.466666666666666
50,Caetano,103575,Goiás,ZAG,2.766666666666667,3.9333333333333336
51,Caio,101601,Goiás,MEI,1.6333333333333335,0.7000000000000001
52,Caio Paulista,102318,Fluminense,ATA,2.3,2.866666666666667
53,Calebe,109461,Atlético-MG,MEI,3.5,4.05
54,Calleri,89840,São Paulo,ATA,2.3666666666666667,2.6750000000000003
55,Camacho,68770,Santos,MEI,1.15,2.766666666666667
56,Camilo,104519,Cuiabá,MEI,0.7,2.35
57,Cano,79631,Fluminense,ATA,10.525,1.5999999999999999
58,Cantillo,85315,Corinthians,MEI,1.7999999999999998,1.4666666666666668
59,Capixaba,94894,Juventude,ATA,2.45,2.75
60,Carlos Alberto,106704,América-MG,ATA,3.4,0.0
61,Carlos Eduardo,90917,Bragantino,ATA,2.2,-0.7
62,Carlos Sánchez,81677,Santos,MEI,-0.3,0.0
63,Carlos de Pena,87242,Internacional,ATA,1.35,5.7
64,Ceballos,115502,Fortaleza,ZAG,5.233333333333333,3.3
65,Chay,104926,Botafogo,MEI,2.2,0.8
66,Chico,82407,Juventude,MEI,1.5666666666666667,1.0666666666666667
67,Christian,104502,Athletico-PR,MEI,0.5,1.2
68,Churín,98289,Atlético-GO,ATA,2.25,5.0
69,Clayton,106931,Coritiba,ATA,2.9,3.35
70,Cleiton,93882,Bragantino,GOL,2.75,1.3333333333333333
71,Cléber,104125,Ceará,ATA,2.6333333333333333,2.6666666666666665
72,Conti,100943,América-MG,ZAG,3.05,0.5
73,Copete,77959,Avaí,ATA,0.10000000000000002,0.0
74,Cris Silva,89668,Fluminense,LAT,4.65,0.5
75,Cuello,98909,Athletico-PR,ATA,1.9,3.3000000000000003
76,Cássio,42234,Corinthians,GOL,7.0,2.6666666666666665
77,César,91422,Juventude,GOL,2.5,6.0
78,Da Silva,107251,Goiás,ZAG,10.2,-1.4
79,Dadá Belmonte,94263,Goiás,ATA,1.9500000000000002,2.6666666666666665
80,Daniel,96468,Internacional,GOL,0.5,2.8333333333333335
81,Daniel Borges,73318,Botafogo,LAT,3.6,1.7333333333333334
82,Daniel Cruz,112734,Botafogo,ATA,1.1,-0.1
83,Danilo,107231,Palmeiras,MEI,3.1,2.0
84,Danilo Avelar,72142,América-MG,ZAG,2.8000000000000003,1.2000000000000002
85,Danilo Barcelos,84382,Goiás,LAT,2.7,-0.65
86,David,90309,Internacional,ATA,2.55,3.4
87,David Braz,50317,Fluminense,ZAG,0.8,0.0
88,David Luiz,52827,Flamengo,ZAG,1.8,0.4
89,Del Piage,107972,Botafogo,MEI,4.949999999999999,2.8
90,Dentinho,50428,Ceará,ATA,-0.8,0.0
91,Dentinho,115806,Avaí,ATA,0.1,0.1
92,Depietri,114138,Fortaleza,ATA,-0.3,-0.6
93,Diego,38909,Flamengo,MEI,0.95,0.09999999999999999
94,Diego,101027,Goiás,MEI,3.2,1.8
95,Diego,101728,São Paulo,ZAG,2.95,1.45
96,Diego,115678,Coritiba,LAT,1.9333333333333333,2.6
97,Diego Alves,38509,Flamengo,GOL,6.0,-1.5
98,Diego Gonçalves,90540,Botafogo,ATA,0.6,0.0
99,Dorival Júnior,40990,Flamengo,TEC,6.906666666666666,2.8833333333333333
100,Douglas Friedrich,78584,Avaí,GOL,-1.0,4.5
101,Du Queiroz,113687,Corinthians,MEI,4.633333333333334,3.25
102,Dudu,68920,Palmeiras,ATA,3.175,3.5999999999999996
103,Edenílson,63289,Internacional,MEI,8.6,3.866666666666667
104,Eder,91521,São Paulo,ATA,0.6,-0.225
105,Edinho,80193,Juventude,ATA,-0.9,0.0
106,Edson ,80370,Atlético-GO,MEI,3.5999999999999996,0.7333333333333334
107,Edson Fernando,105901,Atlético-GO,MEI,1.9249999999999998,2.1333333333333333
108,Eduardo,91688,Avaí,MEI,5.0,0.06666666666666667
109,Eduardo Baptista,87211,Juventude,TEC,4.380000000000001,1.84
110,Eduardo Barroca,77774,Avaí,TEC,3.3825,2.9766666666666666
111,Eduardo Bauermann,86970,Santos,ZAG,0.7999999999999999,2.6
112,Eduardo Sasha,70360,Atlético-MG,ATA,1.0333333333333334,6.824999999999999
113,Egídio,42145,Coritiba,LAT,0.3,0.0
114,Elton,38588,Cuiabá,ATA,0.75,1.9
115,Elvis,73347,Goiás,MEI,2.0000000000000004,-0.5
116,Eric Ramires,103295,Bragantino,MEI,-0.06666666666666665,2.3
117,Erick,97810,Ceará,ATA,3.375,0.6
118,Erick,98022,Athletico-PR,MEI,4.166666666666667,1.6333333333333335
119,Erison,108422,Botafogo,ATA,1.6749999999999998,10.1
120,Everaldo ,91151,América-MG,ATA,2.9250000000000003,4.366666666666666
121,Everson,72294,Atlético-MG,GOL,3.5,3.625
122,Everton,50301,Cuiabá,MEI,0.1,0.0
123,Everton Ribeiro,51772,Flamengo,MEI,8.066666666666668,2.55
124,Fabinho,111760,Palmeiras,MEI,2.25,-1.3
125,Fabián Bustos,107645,Santos,TEC,3.936666666666667,3.78
126,Fabrício,105171,Coritiba,ATA,2.4000000000000004,3.65
127,Fagner,42500,Corinthians,LAT,5.3,0.0
128,Felipe,91733,Fortaleza,MEI,4.35,7.9
129,Felipe Augusto,111408,Corinthians,ATA,0.30000000000000004,0.2
130,Felipe Azevedo,60825,América-MG,ATA,3.675,1.0
131,Felipe Jonatan,101708,Santos,LAT,-1.1,0.25
132,Felipe Marques,101054,Cuiabá,ATA,2.95,0.3
133,Felipe Melo,38545,Fluminense,ZAG,1.366666666666667,2.8
134,Fellipe Bastos,70116,Goiás,MEI,0.0,4.866666666666667
135,Fernando Diniz,72391,Fluminense,TEC,6.914999999999999,3.3433333333333337
136,Fernando Sobral,84428,Ceará,MEI,0.7333333333333334,2.6666666666666665
137,Filipe Luís,38750,Flamengo,LAT,0.9,1.2999999999999998
138,Fred,38162,Fluminense,ATA,8.0,0.0
139,Fábio,37656,Fluminense,GOL,4.75,5.333333333333333
140,Fábio Gomes,100641,Atlético-MG,ATA,1.0,0.0
141,Fábio Santos,38229,Corinthians,LAT,9.4,1.7
142,Gabriel,78605,Internacional,MEI,8.8,3.2749999999999995
143,Gabriel,83257,Flamengo,ATA,9.45,1.6500000000000001
144,Gabriel,98976,São Paulo,MEI,1.0999999999999999,2.0
145,Gabriel Lacerda,108176,Ceará,ZAG,0.14999999999999997,2.8666666666666667
146,Gabriel Menino,103767,Palmeiras,MEI,3.1999999999999997,4.4
147,Gabriel Noga,107107,Atlético-GO,ZAG,-0.2,0.0
148,Gabriel Novaes,109639,Bragantino,ATA,0.1,0.0
149,Gabriel Pirani,110607,Santos,MEI,-0.4,0.0
150,Gabriel Veron,103764,Palmeiras,ATA,4.7,4.566666666666666
151,Galarza,108528,Coritiba,MEI,2.05,1.3
152,Ganso,62977,Fluminense,MEI,1.0,0.5000000000000001
153,Gatito Fernández,74061,Botafogo,GOL,2.5,3.6666666666666665
154,Geovane,105336,Ceará,MEI,-0.1,2.066666666666667
155,Gil,68923,Corinthians,ZAG,8.35,5.05
156,Giuliano,51548,Corinthians,MEI,0.9333333333333332,1.7
157,Gomes,107109,Flamengo,MEI,2.233333333333333,5.3
158,Guga,101319,Atlético-MG,LAT,6.6,4.9
159,Guilherme Arana,87228,Atlético-MG,LAT,2.3666666666666667,4.3
160,Guilherme Biro,107555,Coritiba,LAT,0.7999999999999999,3.0
161,Guilherme Castilho,101798,Atlético-MG,MEI,-0.2,-1.5
162,Guillermo de los Santos,87238,Coritiba,ZAG,3.3,0.4
163,Gustavo,108201,América-MG,MEI,2.0,0.4
164,Gustavo Garcia,107225,Palmeiras,LAT,0.7,6.1
165,Gustavo Gómez,71684,Palmeiras,ZAG,10.700000000000001,4.75
166,Gustavo Henrique,78248,Flamengo,ZAG,6.6,0.2
167,Gustavo Mantuan,110270,Corinthians,MEI,4.566666666666666,5.733333333333334
168,Gustavo Morínigo,88881,Coritiba,TEC,3.38,4.11
169,Gustavo Santos,112831,Avaí,ATA,0.9,0.0
170,Gustavo Scarpa,87999,Palmeiras,MEI,10.775,8.733333333333333
171,Hayner,91856,Atlético-GO,LAT,1.4666666666666668,2.466666666666667
