,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,71.05333333333333,1,74.0,5,53.92499999999999,5
1,Flamengo,69.39999999999999,2,89.74666666666667,1,31.505,18
2,Internacional,66.50833333333333,3,68.03666666666666,6,55.145,3
3,Palmeiras,66.43499999999999,4,75.86999999999999,3,70.16333333333331,1
4,Fluminense,63.0,5,75.70833333333333,4,43.49,9
5,Goiás,59.27333333333334,6,52.23666666666668,12,47.52833333333333,8
6,Athletico-PR,57.163333333333334,7,59.6,9,54.27333333333333,4
7,Atlético-MG,55.745000000000005,8,63.07333333333333,7,55.926666666666655,2
8,Santos,55.04666666666666,9,60.665,8,41.36333333333334,12
9,Corinthians,53.05500000000001,10,78.39999999999999,2,43.303333333333335,10
10,Fortaleza,51.90833333333333,11,56.63666666666666,10,48.25333333333334,7
11,América-MG,50.98333333333333,12,46.01999999999999,18,42.11000000000001,11
12,Coritiba,49.21666666666667,13,47.36333333333334,16,37.798333333333325,15
13,São Paulo,47.47166666666667,14,54.945,11,40.218333333333334,14
14,Botafogo,44.76333333333333,15,48.21833333333333,15,41.093333333333334,13
15,Cuiabá,43.25333333333333,16,49.19833333333333,14,26.073333333333327,20
16,Avaí,41.20166666666666,17,46.36500000000001,17,31.98333333333333,17
17,Juventude,40.68833333333333,18,49.32666666666666,13,30.78333333333333,19
18,Ceará,35.928333333333335,19,42.00166666666667,20,51.794999999999995,6
19,Atlético-GO,31.126666666666665,20,42.145,19,36.12833333333333,16
