,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,68,49,16,33,13,1
1,Corinthians,54,37,25,12,10,2
2,Internacional,50,36,24,12,11,3
3,Atlético-MG,46,32,23,9,7,4
4,Fluminense,46,35,30,5,6,5
5,Athletico-PR,43,31,30,1,5,6
6,Botafogo,43,28,29,-1,12,7
7,Flamengo,42,35,26,9,7,8
8,São Paulo,41,36,27,9,10,9
9,Bragantino,40,38,35,3,5,10
10,Santos,38,30,23,7,6,11
11,América-MG,37,21,27,-6,9,12
12,Ceará,35,27,30,-3,2,13
13,Coritiba,35,25,38,-13,7,14
14,Goiás,34,28,34,-6,2,15
15,Fortaleza,33,24,29,-5,11,16
16,Avaí,32,24,40,-16,3,17
17,Atlético-GO,30,25,38,-13,7,18
18,Cuiabá,28,19,30,-11,4,19
19,Juventude,25,21,46,-25,2,20
