,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Goiás,36.0,Juventude,1.50301198024914,0.8974429494747763,51.47,21.87,26.66,30.98,12.84,9.1,40.08,21.939999999999998,62.019999999999996
1,Coritiba,36.0,Flamengo,1.1580562633318625,1.314154218501584,32.82,40.55,26.62,18.31,23.06,8.23,26.54,31.29,57.83
2,Cuiabá,36.0,Palmeiras,1.1877698058564454,1.3371205887415243,32.76,40.16,27.08,17.91,22.22,7.8,25.71,30.02,55.730000000000004
3,Internacional,36.0,Athletico-PR,1.5510120178675835,1.2047670314111902,45.29,30.34,24.37,23.68,15.32,6.22,29.9,21.54,51.44
4,Santos,36.0,Avaí,1.732488753749573,1.228292155828688,49.05,27.25,23.71,23.55,12.49,5.41,28.96,17.9,46.86
5,Corinthians,36.0,Ceará,1.4104643164443043,1.2454389449113203,41.09,33.07,25.84,21.7,17.35,7.07,28.77,24.42,53.19
6,Fortaleza,36.0,Atlético-GO,1.6152276080661885,1.3505652751299593,43.8,32.23,23.96,20.82,14.8,5.15,25.97,19.950000000000003,45.92
7,Bragantino,36.0,América-MG,1.6657788140652623,1.4291552097056202,43.28,32.68,24.04,19.45,13.84,4.73,24.18,18.57,42.75
8,Atlético-MG,36.0,Botafogo,1.6093424625312402,1.437122255576985,41.88,33.91,24.2,18.96,15.01,4.71,23.67,19.72,43.39
9,Fluminense,36.0,São Paulo,1.5281977597518195,1.5267292082036368,37.82,38.34,23.84,16.48,17.23,4.38,20.86,21.61,42.47
