,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,78.56166666666665,1,82.15999999999998,1,74.96333333333332,1
1,Corinthians,65.73119047619048,2,70.9557142857143,3,60.50666666666667,2
2,Atlético-MG,64.31475,3,69.17750000000001,4,59.452,3
3,Flamengo,57.13107142857143,4,76.255,2,38.00714285714286,14
4,Coritiba,54.71892857142857,5,66.09285714285714,5,43.345,11
5,Bragantino,53.44369047619048,6,61.49166666666668,7,45.39571428571429,10
6,Santos,53.11000000000001,7,60.220000000000006,8,46.00000000000001,9
7,Fluminense,52.87,8,58.16142857142857,9,47.57857142857142,7
8,Athletico-PR,52.50928571428572,9,54.392857142857146,11,50.62571428571429,5
9,Internacional,51.92869047619048,10,53.471666666666664,12,50.38571428571429,6
10,São Paulo,50.23714285714286,11,63.537142857142854,6,36.93714285714286,18
11,Botafogo,47.486428571428576,12,48.51428571428572,13,46.45857142857143,8
12,Ceará,45.867023809523815,13,37.73833333333334,19,53.99571428571429,4
13,Atlético-GO,44.26285714285714,14,47.611428571428576,14,40.91428571428572,12
14,Avaí,42.21071428571429,15,46.97285714285714,15,37.448571428571434,15
15,América-MG,42.015625,16,55.309999999999995,10,28.721249999999998,20
16,Fortaleza,41.25261904761905,17,45.28857142857142,16,37.21666666666667,16
17,Goiás,38.918571428571425,18,42.18714285714286,17,35.65,19
18,Juventude,38.738095238095234,19,40.27333333333333,18,37.202857142857134,17
19,Cuiabá,38.12595238095238,20,36.96333333333333,20,39.28857142857142,13
