,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,79.07233333333335,1,77.018,2,81.12666666666668,1
1,Atlético-MG,66.97966666666667,2,73.526,3,60.43333333333334,3
2,Coritiba,66.7195,3,91.63499999999999,1,41.804,12
3,Corinthians,62.6275,4,60.655,7,64.6,2
4,Flamengo,56.7275,5,64.2825,6,49.1725,5
5,Santos,54.75075,6,64.584,5,44.9175,9
6,São Paulo,53.34325,7,65.9725,4,40.714,13
7,Internacional,51.56675,8,54.1075,9,49.026,6
8,Botafogo,48.091750000000005,9,46.197500000000005,14,49.986000000000004,4
9,Bragantino,47.67250000000001,10,52.99250000000001,11,42.352500000000006,11
10,Athletico-PR,47.08125,11,53.459999999999994,10,40.7025,14
11,Fluminense,45.85425,12,47.5925,12,44.116,10
12,América-MG,44.51425,13,60.57249999999999,8,28.456,20
13,Avaí,43.09325,14,47.434,13,38.752500000000005,16
14,Ceará,40.795,15,35.879999999999995,18,45.71,8
15,Goiás,40.14575000000001,16,42.8175,16,37.474000000000004,17
16,Atlético-GO,39.6185,17,43.202,15,36.035000000000004,18
17,Cuiabá,38.929249999999996,18,31.472499999999997,19,46.385999999999996,7
18,Juventude,38.80175,19,38.465999999999994,17,39.1375,15
19,Fortaleza,31.717500000000005,20,31.200000000000003,20,32.23500000000001,19
