,clube,xG_total,xGA_total,xG_saldo
0,Flamengo,47.64533739703556,26.662490762598658,20.982846634436903
1,Palmeiras,48.24835138861237,28.598754608351562,19.649596780260808
2,Atlético-MG,43.7161380043553,25.104768661839394,18.611369342515907
3,Internacional,42.55815952262494,32.328178561286066,10.229980961338875
4,Fluminense,38.2879966010468,32.44645352768959,5.841543073357208
5,São Paulo,39.536705930609855,34.41785344684282,5.118852483767036
6,Bragantino,40.25065800663747,36.99405669052367,3.2566013161138017
7,Fortaleza,36.702216986343416,34.71257678366551,1.9896402026779043
8,América-MG,40.18566509560066,38.60150490726265,1.5841601883380108
9,Corinthians,33.734260426642905,32.4765782317891,1.2576821948538068
10,Atlético-GO,39.741782600622464,43.061028825423776,-3.3192462248013115
11,Cuiabá,30.814567808562963,35.492498758008566,-4.677930949445603
12,Coritiba,34.88754344270164,39.742660522940824,-4.855117080239182
13,Santos,37.0971982744358,42.016407272617705,-4.919208998181908
14,Botafogo,34.84056168329492,40.53416862093532,-5.693606937640396
15,Ceará,33.18077481639405,39.0374161293161,-5.856641312922051
16,Athletico-PR,32.0271495861017,41.77775468551375,-9.750605099412049
17,Avaí,31.7602289827023,44.48495479291766,-12.72472581021536
18,Juventude,30.467857983103134,45.08177662415221,-14.613918641049079
19,Goiás,28.925972489902136,51.03724461365546,-22.111272123753324
