,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
1,Flamengo,2.3846153846153846,0.6923076923076923,1.1333333333333333,1.2
2,Botafogo,0.8666666666666667,1.0,1.0714285714285714,1.3571428571428572
3,Corinthians,1.4666666666666666,0.4666666666666667,1.0,1.6428571428571428
4,Fluminense,2.3333333333333335,1.0,1.0,1.2142857142857142
5,Palmeiras,2.0,0.6428571428571429,1.4285714285714286,0.6428571428571429
6,São Paulo,1.6666666666666667,1.1333333333333333,1.0,1.1428571428571428
7,Santos,1.4285714285714286,0.8571428571428571,0.6666666666666666,0.8666666666666667
8,Bragantino,1.5714285714285714,0.9285714285714286,1.0,1.6
9,Atlético-MG,1.3333333333333333,1.0666666666666667,1.0714285714285714,1.0714285714285714
10,Internacional,1.9333333333333333,0.7333333333333333,1.2,1.0
11,Juventude,0.7142857142857143,1.2857142857142858,0.6,2.2666666666666666
12,Goiás,1.1333333333333333,1.0666666666666667,0.9285714285714286,1.4285714285714286
13,Athletico-PR,1.4285714285714286,0.8571428571428571,0.9333333333333333,1.4
14,Coritiba,1.2666666666666666,0.8666666666666667,0.8461538461538461,2.4615384615384617
15,Avaí,1.5333333333333334,1.3333333333333333,0.5,2.0
16,América-MG,1.3571428571428572,0.7857142857142857,0.6666666666666666,1.0666666666666667
17,Ceará,0.9333333333333333,1.2,0.8571428571428571,0.9285714285714286
18,Fortaleza,0.8571428571428571,0.7857142857142857,1.1333333333333333,1.4666666666666666
19,Atlético-GO,1.0,1.0714285714285714,0.8,1.8666666666666667
20,Cuiabá,0.7857142857142857,0.6428571428571429,0.6666666666666666,1.4
