,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Botafogo,Ceará,2.33,3.13,3.24,42.91845493562232,30.864197530864196,31.948881789137378
1,Juventude,América-MG,2.27,3.1,3.41,44.052863436123346,29.325513196480934,32.25806451612903
2,Atlético-GO,Bragantino,2.73,3.18,2.65,36.63003663003663,37.735849056603776,31.446540880503143
3,Avaí,Corinthians,3.13,3.05,2.44,31.948881789137378,40.98360655737705,32.786885245901644
4,São Paulo,Flamengo,2.9,3.36,2.47,34.48275862068966,40.48582995951417,29.761904761904763
5,Fluminense,Cuiabá,1.48,4.01,7.42,67.56756756756756,13.477088948787062,24.93765586034913
6,Palmeiras,Goiás,1.25,5.62,12.2,80.0,8.196721311475411,17.793594306049823
7,Fortaleza,Internacional,2.41,3.12,3.06,41.49377593360995,32.6797385620915,32.05128205128205
8,Atlético-MG,Athletico-PR,1.54,3.99,6.53,64.93506493506493,15.313935681470136,25.062656641604008
9,Coritiba,Santos,2.21,3.15,3.35,45.248868778280546,29.850746268656714,31.746031746031743
