,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Botafogo,37.0,Santos,1.2772550694062192,1.1075278657105678,40.32,31.84,27.84,23.9,18.56,9.32,33.22,27.88,61.099999999999994
1,Coritiba,37.0,Corinthians,1.2058311622069766,1.1052483311617518,38.72,33.81,27.46,23.34,20.16,9.69,33.03,29.85,62.88
2,Atlético-GO,37.0,Athletico-PR,1.5631387560545416,1.2275009548537241,45.0,30.0,25.0,23.54,14.7,6.14,29.68,20.84,50.519999999999996
3,Avaí,37.0,Ceará,1.347879867198558,1.2214846651998585,39.09,34.2,26.71,21.71,18.66,7.57,29.28,26.23,55.510000000000005
4,Atlético-MG,37.0,Cuiabá,1.4706072148292075,1.2042703412743607,43.05,31.18,25.77,22.68,16.1,6.51,29.189999999999998,22.61,51.8
5,Fluminense,37.0,Goiás,1.7742691751610664,1.2675689600677358,49.3,27.46,23.24,23.08,12.0,4.62,27.7,16.62,44.32
6,Juventude,37.0,Flamengo,1.313913811268344,1.404558887717604,35.55,39.0,25.45,18.44,20.43,6.69,25.130000000000003,27.12,52.25
7,São Paulo,37.0,Internacional,1.3336376741587423,1.4336642496686776,35.02,39.66,25.32,17.81,19.99,6.4,24.21,26.39,50.6
8,Fortaleza,37.0,Bragantino,1.5657179710923668,1.396784567837324,41.11,34.61,24.29,19.43,15.86,4.98,24.41,20.84,45.25
9,Palmeiras,37.0,América-MG,1.8308861876074292,1.6343734530870258,42.68,35.01,22.31,16.86,12.92,3.03,19.89,15.95,35.84
