,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,São Paulo,Internacional,2.01,3.44,3.87,49.75124378109454,25.839793281653744,29.069767441860467
1,Avaí,Ceará,4.18,3.42,1.91,23.923444976076556,52.35602094240838,29.239766081871345
2,Coritiba,Corinthians,2.93,3.17,2.51,34.129692832764505,39.8406374501992,31.545741324921135
3,Fluminense,Goiás,1.36,4.99,8.36,73.52941176470587,11.961722488038278,20.040080160320638
4,Fortaleza,Bragantino,1.73,3.72,4.84,57.80346820809249,20.66115702479339,26.881720430107524
5,Atlético-GO,Athletico-PR,2.31,3.3,3.13,43.290043290043286,31.948881789137378,30.303030303030305
6,Juventude,Flamengo,5.85,4.26,1.54,17.094017094017094,64.93506493506493,23.474178403755868
7,Palmeiras,América-MG,1.44,4.68,6.71,69.44444444444444,14.903129657228018,21.36752136752137
8,Atlético-MG,Cuiabá,1.42,4.35,8.23,70.42253521126761,12.15066828675577,22.98850574712644
9,Botafogo,Santos,2.0,3.47,3.82,50.0,26.17801047120419,28.818443804034583
10,Bragantino,Fluminense,2.59,3.4,2.59,38.61003861003861,38.61003861003861,29.411764705882355
11,Internacional,Palmeiras,2.3,3.38,2.99,43.47826086956522,33.44481605351171,29.585798816568047
12,Santos,Fortaleza,2.5,3.41,2.7,40.0,37.03703703703704,29.325513196480934
