,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,85.75999999999999,1,75.98166666666667,2,81.12666666666668,1
1,Atlético-MG,63.65333333333333,2,73.526,3,59.997499999999995,2
2,Corinthians,58.830000000000005,3,60.655,7,53.833333333333336,3
3,Coritiba,58.50833333333333,4,83.45400000000001,1,41.803999999999995,11
4,Athletico-PR,54.81666666666667,5,53.46,11,37.35333333333333,16
5,Fluminense,50.745000000000005,6,57.251999999999995,8,44.116,9
6,Santos,50.56333333333333,7,61.801666666666655,6,44.9175,8
7,Ceará,50.35999999999999,8,23.919999999999998,20,52.727999999999994,4
8,Flamengo,48.14166666666667,9,64.2825,5,41.078,12
9,Goiás,46.92666666666667,10,42.8175,16,37.84666666666667,15
10,Internacional,45.800000000000004,11,54.1075,10,46.72833333333333,5
11,São Paulo,44.43666666666667,12,65.9725,4,39.20166666666666,13
12,Botafogo,44.31,13,46.1975,14,45.94666666666668,7
13,Juventude,42.728333333333325,14,40.27333333333333,17,39.137499999999996,14
14,Atlético-GO,42.16833333333333,15,43.964999999999996,15,36.035000000000004,17
15,Bragantino,40.925000000000004,16,56.72800000000001,9,42.352500000000006,10
16,Fortaleza,36.4,17,34.866,18,32.235,19
17,Avaí,34.401666666666664,18,47.434,13,35.89,18
18,América-MG,34.10999999999999,19,52.124,12,28.456,20
19,Cuiabá,33.781666666666666,20,31.472499999999997,19,46.386,6
