,clube,P
0,Palmeiras,72.32559458887569
1,Corinthians,61.64473971864548
2,Fluminense,56.69803668332768
3,Athletico-PR,54.614210930946854
4,Flamengo,54.605625429994554
5,Internacional,54.598461295908955
6,Atlético-MG,54.366669819039295
7,Bragantino,51.23190399182466
8,Santos,51.03321170113621
9,São Paulo,50.69929226807034
10,Ceará,46.21661263041071
11,Botafogo,45.253120731767794
12,Goiás,44.372310165611296
13,Coritiba,40.807370390268304
14,Fortaleza,39.770255973551784
15,Avaí,39.09421871592285
16,Atlético-GO,38.47444693382573
17,Cuiabá,37.11523529766088
18,América-MG,36.12982057898285
19,Juventude,35.763986910124764
