,clube,P
0,Palmeiras,74.76955975478376
1,Corinthians,65.72856694290006
2,Flamengo,58.40146153557979
3,Fluminense,58.251425365888046
4,Athletico-PR,58.142006614287176
5,Atlético-MG,57.57269323406404
6,Internacional,57.0472245387915
7,Santos,54.305889131680104
8,São Paulo,53.05883074749703
9,Bragantino,52.984464068326844
10,Ceará,47.307041337658525
11,Botafogo,47.032390084141255
12,Goiás,45.91818715120501
13,Coritiba,43.0769490410335
14,Fortaleza,41.35563775576604
15,Atlético-GO,38.59505570753278
16,Avaí,38.22203679525811
17,Cuiabá,37.220150101049846
18,América-MG,36.72638679944421
19,Juventude,35.824224850856574
