,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Ceará,24.0,Athletico-PR,1.340943869287503,0.9973124227166114,44.64,27.83,27.52,27.12,16.14,9.57,36.69,25.71,62.4
1,Goiás,24.0,Atlético-GO,1.3746442404454884,1.085906970901548,43.12,29.65,27.22,25.31,16.55,8.65,33.96,25.200000000000003,59.160000000000004
2,Coritiba,24.0,Avaí,1.6213524878480965,1.0916757580480945,48.78,25.85,25.37,26.49,13.54,6.72,33.21,20.259999999999998,53.47
3,Botafogo,24.0,Flamengo,1.1269637879692174,1.2043815677324385,34.28,37.46,28.26,20.58,22.26,9.63,30.21,31.89,62.1
4,Cuiabá,24.0,Santos,1.3070831733068398,1.1656484976598036,39.9,33.01,27.1,22.54,18.62,8.24,30.78,26.86,57.64
5,Corinthians,24.0,Bragantino,1.3163064147532273,1.2044915887641534,39.35,33.57,27.08,21.98,18.63,7.95,29.93,26.58,56.51
6,Internacional,24.0,Juventude,1.7513944896862674,1.2245096865779623,49.58,26.3,24.12,24.2,11.73,5.08,29.28,16.810000000000002,46.09
7,São Paulo,24.0,Fortaleza,1.3863782332846384,1.2514661410721672,40.84,33.63,25.52,21.91,17.77,6.86,28.77,24.63,53.4
8,América-MG,24.0,Atlético-MG,1.2552939542593249,1.4756563137380831,32.3,41.98,25.71,16.38,21.8,6.65,23.03,28.450000000000003,51.480000000000004
9,Fluminense,24.0,Palmeiras,1.358404773266175,1.6150103230830886,32.28,43.62,24.1,14.93,20.74,5.37,20.3,26.11,46.41
