,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Cuiabá,Flamengo,3.83,3.37,2.02,26.10966057441253,49.504950495049506,29.673590504451035
1,Corinthians,Athletico-PR,2.1,3.31,3.76,47.61904761904761,26.595744680851062,30.211480362537763
2,Internacional,Goiás,1.42,4.56,7.8,70.42253521126761,12.820512820512823,21.92982456140351
3,Fortaleza,Avaí,1.52,3.94,7.12,65.78947368421053,14.04494382022472,25.380710659898476
5,Atlético-MG,Ceará,1.46,4.36,7.35,68.4931506849315,13.60544217687075,22.93577981651376
6,Coritiba,Bragantino,2.74,3.1,2.73,36.496350364963504,36.63003663003663,32.25806451612903
7,Fluminense,América-MG,1.67,3.83,5.38,59.88023952095809,18.58736059479554,26.10966057441253
8,Atlético-GO,Palmeiras,4.69,3.66,1.74,21.321961620469082,57.47126436781609,27.322404371584696
9,Santos,Juventude,1.52,4.05,6.49,65.78947368421053,15.408320493066254,24.69135802469136
10,São Paulo,Coritiba,1.55,3.6,6.4,64.51612903225806,15.625,27.77777777777778
