,clube,P
0,Palmeiras,72.41137367242612
1,Corinthians,64.08046480921483
2,Athletico-PR,59.76622533331005
3,Atlético-MG,57.67791106846307
4,Internacional,57.41176430045841
5,Flamengo,55.97160220227491
6,São Paulo,55.76414323134189
7,Santos,54.73594753007127
8,Fluminense,52.55401745448075
9,Bragantino,52.170854463572226
10,Botafogo,50.624577634075386
11,Ceará,47.771193544935734
12,Coritiba,44.126123182570375
13,Goiás,43.91758096833344
14,Atlético-GO,43.44640244010062
15,Fortaleza,42.39124275470335
16,Cuiabá,38.12180823279468
17,Avaí,38.03825078022994
18,América-MG,37.87574629713023
19,Juventude,34.72427486021459
