,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,74.47634920634921,1,76.09555555555556,2,72.85714285714286,1
1,Atlético-MG,65.62714285714286,2,69.37,4,61.8842857142857,2
2,Corinthians,61.587500000000006,3,71.0175,3,52.157500000000006,5
3,Bragantino,59.460625,4,65.61875,5,53.302499999999995,3
4,Flamengo,56.79753968253968,5,77.28285714285714,1,36.312222222222225,18
5,Fluminense,56.45625,6,65.19999999999999,7,47.7125,8
6,Internacional,54.514920634920635,7,58.144285714285715,10,50.885555555555555,7
7,Coritiba,53.748174603174604,8,65.24777777777778,6,42.24857142857143,10
8,Athletico-PR,53.56041666666667,9,54.957499999999996,11,52.163333333333334,4
9,São Paulo,50.583333333333336,10,60.45,8,40.71666666666667,11
10,Santos,50.04968253968254,11,59.39222222222223,9,40.707142857142856,12
11,Ceará,45.602500000000006,12,39.6225,20,51.5825,6
12,Botafogo,45.11562500000001,13,44.181250000000006,17,46.050000000000004,9
13,Fortaleza,43.035625,14,46.322500000000005,15,39.74875,13
14,Cuiabá,42.182142857142864,15,46.534285714285716,14,37.830000000000005,17
15,Atlético-GO,41.59951388888889,16,44.95777777777778,16,38.24125,16
16,Avaí,41.44534722222221,17,47.50444444444444,13,35.38624999999999,19
17,Goiás,41.06201388888889,18,43.486250000000005,18,38.63777777777778,14
18,América-MG,40.853611111111114,19,54.165000000000006,12,27.54222222222222,20
19,Juventude,39.600624999999994,20,40.86749999999999,19,38.33375,15
