,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora
1,Flamengo,2.3636363636363638,0.5454545454545454,1.0714285714285714,1.0714285714285714
2,Botafogo,0.7692307692307693,0.9230769230769231,1.0769230769230769,1.4615384615384615
3,Corinthians,1.2307692307692308,0.38461538461538464,1.0,1.6923076923076923
4,Fluminense,2.142857142857143,1.0714285714285714,1.0,1.1666666666666667
5,Palmeiras,1.9230769230769231,0.6923076923076923,1.3333333333333333,0.6666666666666666
6,São Paulo,1.6153846153846154,1.2307692307692308,0.9230769230769231,1.2307692307692308
7,Santos,1.4615384615384615,0.9230769230769231,0.7692307692307693,0.8461538461538461
8,Bragantino,1.6153846153846154,0.9230769230769231,1.0769230769230769,1.5384615384615385
9,Atlético-MG,1.3846153846153846,1.1538461538461537,1.1538461538461537,1.0769230769230769
10,Internacional,2.1538461538461537,0.8461538461538461,1.1538461538461537,1.0769230769230769
11,Juventude,0.6923076923076923,1.3076923076923077,0.6923076923076923,2.0
12,Goiás,1.3076923076923077,1.0769230769230769,0.9230769230769231,1.3846153846153846
13,Athletico-PR,1.3333333333333333,0.75,1.0,1.4285714285714286
14,Coritiba,1.2857142857142858,0.9285714285714286,0.8333333333333334,2.3333333333333335
15,Avaí,1.3846153846153846,1.3076923076923077,0.5384615384615384,1.8461538461538463
16,América-MG,1.3846153846153846,0.8461538461538461,0.46153846153846156,1.0
17,Ceará,1.0,1.0769230769230769,0.9230769230769231,0.9230769230769231
18,Fortaleza,0.6923076923076923,0.6923076923076923,1.1538461538461537,1.3846153846153846
19,Atlético-GO,1.0,1.0,0.6923076923076923,1.9230769230769231
20,Cuiabá,0.6923076923076923,0.6153846153846154,0.6153846153846154,1.3076923076923077
