,clube,xGA_geral
0,Flamengo,0.8878728902405151
1,Atlético-MG,0.905585948504075
2,Palmeiras,0.9928291655126396
3,Internacional,1.0875869697287421
4,Fluminense,1.0969211429113688
5,Cuiabá,1.0996484969075606
6,Fortaleza,1.1098306449089286
7,Corinthians,1.1360149436991418
8,São Paulo,1.2034030762134191
9,Bragantino,1.2462644510250613
10,Ceará,1.2578289482526563
11,Atlético-GO,1.2852424700557874
12,América-MG,1.39806614520408
13,Botafogo,1.4136849010760684
14,Santos,1.4162236409903275
15,Coritiba,1.4386174259624152
16,Juventude,1.4813144789056594
17,Athletico-PR,1.4884998805529257
18,Avaí,1.5055579912632697
19,Goiás,1.698517178881096
