,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,40,32,10,22,9,1
1,Corinthians,31,21,15,6,8,2
2,Internacional,29,22,14,8,8,3
3,Atlético-MG,29,23,16,7,11,4
4,Fluminense,26,20,17,3,11,5
5,Athletico-PR,26,19,19,0,8,6
6,Bragantino,25,27,21,6,8,7
7,Santos,23,19,14,5,6,8
8,São Paulo,22,20,17,3,4,9
9,Flamengo,22,18,16,2,7,10
10,Goiás,22,16,18,-2,8,11
11,Avaí,22,18,25,-7,5,12
12,Ceará,21,21,21,0,6,13
13,Botafogo,19,16,22,-6,4,14
14,Atlético-GO,18,16,21,-5,5,15
15,Cuiabá,17,11,17,-6,5,16
16,Coritiba,17,18,26,-8,2,17
17,Fortaleza,16,13,18,-5,8,18
18,América-MG,16,11,21,-10,1,19
19,Juventude,14,14,26,-12,4,20
