,clube,xGA_geral
0,Atlético-MG,0.9227938466656644
1,Flamengo,0.9641120755842343
2,Palmeiras,1.0341368717528514
3,Fortaleza,1.0356762413343719
4,Fluminense,1.1367417663602817
5,Internacional,1.164930497430089
6,São Paulo,1.1783443602231876
7,Corinthians,1.178557302125888
8,Bragantino,1.2113860868394122
9,Ceará,1.3143072615428668
10,Cuiabá,1.3268235548950988
11,Atlético-GO,1.336308097092822
12,Botafogo,1.3400289791185735
13,Coritiba,1.3602736304556151
14,América-MG,1.3925529417054685
15,Santos,1.4026285349628378
16,Athletico-PR,1.447035476285104
17,Juventude,1.5016045034419507
18,Avaí,1.5069333012175359
19,Goiás,1.736111787973862
