,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,73.16464285714287,1,78.53,2,67.79928571428572,1
1,Flamengo,61.914,2,80.23,1,43.598000000000006,11
2,Atlético-MG,60.83321428571429,3,63.08571428571429,7,58.58071428571429,2
3,Internacional,60.66738095238096,4,69.9814285714286,3,51.353333333333325,3
4,Corinthians,57.61371794871795,5,68.43666666666667,4,46.790769230769236,6
5,Fluminense,54.05033333333333,6,67.84666666666666,5,40.25399999999999,14
6,Bragantino,52.199642857142855,7,58.73857142857143,9,45.66071428571428,9
7,Fortaleza,51.66704326923077,8,53.95846153846154,13,49.37562499999999,5
8,Athletico-PR,51.661,9,57.21666666666667,11,46.10533333333333,7
9,São Paulo,50.8843076923077,10,57.72461538461539,10,44.044000000000004,10
10,Coritiba,50.772384615384624,11,63.78400000000001,6,37.76076923076924,16
11,Santos,50.47552380952381,12,60.53533333333333,8,40.41571428571428,13
12,Botafogo,49.33099999999999,13,48.34799999999999,14,50.313999999999986,4
13,América-MG,47.284666666666666,14,55.62933333333333,12,38.94000000000001,15
14,Goiás,43.28966666666666,15,44.087333333333326,16,42.492,12
15,Cuiabá,41.75528846153847,16,48.34307692307693,15,35.167500000000004,19
16,Ceará,41.70105128205128,17,37.711333333333336,20,45.690769230769234,8
17,Atlético-GO,40.01166666666667,18,42.39933333333333,18,37.624,17
18,Avaí,38.529999999999994,19,41.80499999999999,19,35.254999999999995,18
19,Juventude,36.28710256410257,20,42.98153846153847,17,29.592666666666666,20
