,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Flamengo,Avaí,1.17,7.39,16.45,85.47008547008548,6.079027355623101,13.531799729364005
1,América-MG,Atlético-GO,1.44,4.41,7.53,69.44444444444444,13.280212483399733,22.675736961451246
2,Athletico-PR,Botafogo,2.11,3.36,3.53,47.39336492890995,28.328611898016998,29.761904761904763
3,Bragantino,Fluminense,2.8,3.48,2.42,35.714285714285715,41.32231404958678,28.735632183908045
4,Ceará,Juventude,1.64,3.76,5.68,60.97560975609756,17.605633802816904,26.595744680851062
5,Corinthians,Atlético-MG,3.18,3.14,2.41,31.446540880503143,41.49377593360995,31.84713375796178
6,Cuiabá,Coritiba,2.04,3.43,3.72,49.01960784313725,26.881720430107524,29.154518950437314
7,Goiás,São Paulo,3.87,3.42,1.97,25.839793281653744,50.76142131979695,29.239766081871345
8,Internacional,Palmeiras,2.41,3.34,3.02,41.49377593360995,33.11258278145696,29.940119760479046
9,Santos,Fortaleza,3.25,3.32,2.25,30.76923076923077,44.44444444444444,30.120481927710845
