,clube,xP,ranking_xp
0,Flamengo,36.989999999999995,1
1,Palmeiras,36.35,2
2,Atlético-MG,34.650000000000006,3
3,Internacional,32.11,4
4,São Paulo,30.980000000000004,5
5,Fluminense,29.79,6
6,Fortaleza,27.62,7
7,América-MG,27.349999999999998,8
8,Bragantino,27.339999999999996,9
9,Corinthians,26.22,10
10,Atlético-GO,26.210000000000004,11
11,Santos,24.69,12
12,Coritiba,24.029999999999998,13
13,Botafogo,23.87,14
14,Ceará,23.759999999999998,15
15,Cuiabá,22.76,16
16,Athletico-PR,21.179999999999996,17
17,Juventude,20.369999999999997,18
18,Avaí,19.89,19
19,Goiás,15.729999999999999,20
