,clube,Goal_casa,GoalA_casa,Goal_fora,GoalA_fora,Goal_geral,GoalA_geral,Goal_diff_casa,Goal_diff_fora,Goal_diff_geral
0,Palmeiras,2.0,0.75,2.0,0.5,2.0,0.625,1.25,1.5,1.375
1,São Paulo,2.6666666666666665,0.6666666666666666,1.0,1.5,1.8333333333333333,1.0833333333333333,2.0,-0.5,0.75
2,Corinthians,1.3333333333333333,0.3333333333333333,1.5,1.5,1.4166666666666665,0.9166666666666666,1.0,0.0,0.4999999999999999
3,Coritiba,2.3333333333333335,0.6666666666666666,1.0,1.75,1.6666666666666667,1.2083333333333333,1.666666666666667,-0.75,0.4583333333333335
4,Santos,2.0,0.5,0.3333333333333333,1.0,1.1666666666666667,0.75,1.5,-0.6666666666666667,0.41666666666666674
5,Atlético-MG,1.5,1.0,1.3333333333333333,1.0,1.4166666666666665,1.0,0.5,0.33333333333333326,0.4166666666666665
6,Botafogo,1.6666666666666667,1.6666666666666667,1.25,0.75,1.4583333333333335,1.2083333333333335,0.0,0.5,0.25
7,Bragantino,1.5,0.75,0.6666666666666666,1.0,1.0833333333333333,0.875,0.75,-0.33333333333333337,0.20833333333333326
8,América-MG,2.0,0.6666666666666666,0.5,1.5,1.25,1.0833333333333333,1.3333333333333335,-1.0,0.16666666666666674
9,Flamengo,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.1666666666666665,1.0,0.6666666666666666,-0.33333333333333326,0.16666666666666652
10,Internacional,1.3333333333333333,1.0,0.75,1.0,1.0416666666666665,1.0,0.33333333333333326,-0.25,0.04166666666666652
11,Fluminense,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0
12,Cuiabá,0.6666666666666666,0.6666666666666666,1.0,1.5,0.8333333333333333,1.0833333333333333,0.0,-0.5,-0.25
13,Goiás,1.3333333333333333,1.0,0.75,1.75,1.0416666666666665,1.375,0.33333333333333326,-1.0,-0.3333333333333335
14,Avaí,1.75,1.25,0.3333333333333333,1.6666666666666667,1.0416666666666667,1.4583333333333335,0.5,-1.3333333333333335,-0.41666666666666674
15,Atlético-GO,1.0,0.5,0.3333333333333333,2.0,0.6666666666666666,1.25,0.5,-1.6666666666666667,-0.5833333333333334
16,Ceará,1.0,2.0,0.6666666666666666,1.0,0.8333333333333333,1.5,-1.0,-0.33333333333333337,-0.6666666666666667
17,Athletico-PR,1.0,0.5,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.4166666666666667,0.5,-2.0,-0.7500000000000001
18,Juventude,0.5,1.5,1.3333333333333333,2.0,0.9166666666666666,1.75,-1.0,-0.6666666666666667,-0.8333333333333334
19,Fortaleza,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.5,1.3333333333333335,-0.6666666666666667,-1.0,-0.8333333333333335
