,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,80.833,1,82.16,1,79.506,1
1,Corinthians,66.98083333333334,2,73.45500000000001,2,60.50666666666667,2
2,Atlético-MG,64.97028571428572,3,70.48857142857143,3,59.452,3
3,Coritiba,54.71892857142857,4,66.09285714285714,5,43.345,11
4,Flamengo,53.83657142857143,5,69.666,4,38.00714285714286,14
5,Bragantino,53.33583333333334,6,61.49166666666668,7,45.18000000000001,8
6,Internacional,51.92869047619048,7,53.471666666666664,11,50.38571428571429,6
7,Santos,51.786,8,60.220000000000006,8,43.352,10
8,Athletico-PR,51.77869047619048,9,52.931666666666665,12,50.62571428571429,5
9,Fluminense,50.834880952380956,10,58.16142857142857,9,43.50833333333333,9
10,São Paulo,50.06857142857143,11,63.20000000000001,6,36.93714285714286,16
11,Botafogo,48.01095238095238,12,49.56333333333333,13,46.45857142857143,7
12,Ceará,46.804857142857145,13,39.614,18,53.99571428571429,4
13,Atlético-GO,45.03571428571429,14,47.611428571428576,15,42.46,13
14,Avaí,42.92511904761905,15,48.401666666666664,14,37.448571428571434,15
15,América-MG,42.19714285714286,16,55.31,10,29.08428571428571,20
16,Cuiabá,40.0,17,36.96333333333333,20,43.03666666666666,12
17,Fortaleza,39.69428571428571,18,45.28857142857142,16,34.1,18
18,Goiás,37.51583333333333,19,39.38166666666667,19,35.65,17
19,Juventude,36.61083333333333,20,40.27333333333333,17,32.94833333333334,19
