,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,79,60,18,42,11,1
1,Corinthians,64,41,28,13,10,2
2,Internacional,60,42,27,15,10,3
3,Fluminense,59,46,33,13,13,4
4,Flamengo,51,42,32,10,9,5
5,Atlético-MG,51,35,28,7,5,6
6,Botafogo,50,34,35,-1,7,7
7,São Paulo,49,43,34,9,8,8
8,Athletico-PR,49,38,41,-3,6,9
9,Bragantino,46,46,46,0,6,10
10,Santos,45,38,30,8,7,11
11,América-MG,44,30,34,-4,7,12
12,Goiás,42,35,40,-5,8,13
13,Coritiba,42,29,43,-14,7,14
14,Fortaleza,41,30,36,-6,8,15
15,Ceará,36,29,36,-7,1,16
16,Cuiabá,36,25,34,-9,8,17
17,Atlético-GO,35,31,45,-14,5,18
18,Avaí,33,26,50,-24,1,19
19,Juventude,26,23,52,-29,1,20
