,clube,Goal_diff_geral,xG_diff_geral
4,Fortaleza,-0.5142857142857142,0.19118119430312142
6,Coritiba,-0.08333333333333326,0.08733969772544592
7,Atlético-GO,-0.33333333333333326,0.0672885498244562
8,América-MG,-0.16666666666666663,0.05693799193015536
