,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1740,Bruno Henrique,90285,Flamengo,ATA,4.975,6.7749999999999995,Fortaleza,visitante,6.125,6.449999999999999
1741,Varela,84816,Flamengo,LAT,1.4,0.0,Fortaleza,visitante,6.125,6.125
1742,Matheus Cavichioli,72580,América-MG,GOL,5.0875,7.166666666666667,Cuiabá,visitante,4.891666666666667,6.029166666666667
1743,Eduardo,68708,Botafogo,MEI,3.3,10.45,Goiás,visitante,1.3076923076923077,5.878846153846154
1744,Busanello,97537,Juventude,LAT,1.2,8.6,Fluminense,visitante,2.742857142857143,5.671428571428571
1745,Marcos Rocha,63013,Palmeiras,LAT,5.088888888888889,8.162500000000001,Atlético-MG,visitante,3.0749999999999997,5.61875
1746,Santos,69012,Flamengo,GOL,4.142857142857143,4.714285714285714,Fortaleza,visitante,6.125,5.419642857142858
1747,Matheus França,115100,Flamengo,MEI,0.48,4.55,Fortaleza,visitante,6.125,5.3375
1748,Arrascaeta,87863,Flamengo,MEI,8.388888888888888,4.536363636363637,Fortaleza,visitante,6.125,5.3306818181818185
1749,Kuscevic,98619,Palmeiras,ZAG,5.0,7.5,Atlético-MG,visitante,3.0749999999999997,5.2875
1750,Andreas Pereira,89274,Flamengo,MEI,1.15,4.442857142857143,Fortaleza,visitante,6.125,5.2839285714285715
1751,Pedro,94583,Flamengo,ATA,5.49,4.345454545454545,Fortaleza,visitante,6.125,5.235227272727272
1752,Emmanuel Martínez,103388,América-MG,MEI,3.25,5.4,Cuiabá,visitante,4.891666666666667,5.145833333333334
1753,Paulo Sousa,89284,Flamengo,TEC,5.3575,4.0975,Fortaleza,visitante,6.125,5.11125
1754,Mendoza,90031,Ceará,ATA,4.218181818181818,7.290909090909091,Coritiba,visitante,2.75,5.0204545454545455
1755,Anderson,102906,Athletico-PR,GOL,4.25,6.5,Santos,visitante,3.5153846153846158,5.007692307692308
1756,Dorival Júnior,40990,Flamengo,TEC,6.030833333333334,3.8246153846153845,Fortaleza,visitante,6.125,4.974807692307692
1757,Raúl Cáceres,71680,América-MG,LAT,3.9000000000000004,5.033333333333333,Cuiabá,visitante,4.891666666666667,4.9625
1758,Willian Arão,78478,Flamengo,MEI,1.3166666666666667,3.771428571428572,Fortaleza,visitante,6.125,4.948214285714286
1759,Vitor Roque,114802,Athletico-PR,ATA,1.8500000000000003,6.2333333333333325,Santos,visitante,3.5153846153846158,4.874358974358974
