,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'A': 2, 'CA': 5, 'DS': 10, 'FC': 31, 'FD': 13, 'FF': 30, 'FS': 49, 'FT': 3, 'G': 9, 'I': 14, 'PI': 130}",39148,27,282,5,2,0.0,21.11,0.0,6.59,21,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",hulk,Hulk,Hulk,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Dúvida
1,"{'A': 2, 'CA': 1, 'DS': 25, 'FC': 15, 'FD': 2, 'FF': 3, 'FS': 2, 'G': 1, 'I': 3, 'PI': 121, 'SG': 9}",71680,27,327,2,7,5.1,6.4,-0.12,4.26,19,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",raul-caceres,Raúl Cáceres,R. Cáceres,Raúl Alejandro Cáceres Bogado,https://s.glbimg.com/es/sde/f/2022/02/24/641daa2c8e8e5423b42c703eb607615a_FORMATO.png,Provável
2,"{'A': 1, 'CA': 4, 'DS': 42, 'FC': 17, 'FD': 3, 'FF': 9, 'FS': 17, 'PC': 1, 'PI': 121, 'SG': 8}",102130,27,275,2,7,5.1,8.58,0.44,5.45,17,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,https://s.sde.globo.com/media/person_role/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,Provável
3,"{'CA': 5, 'DS': 13, 'FC': 26, 'FD': 12, 'FF': 12, 'FS': 7, 'FT': 1, 'G': 4, 'I': 10, 'PI': 55, 'PP': 1}",68773,27,327,5,7,0.3,3.74,0.13,2.74,20,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",henrique-almeida,Henrique Almeida,H. Almeida,Henrique Almeida Caixeta Nascentes,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,Provável
4,"{'CA': 2, 'DE': 74, 'FS': 3, 'GS': 31, 'SG': 8}",37656,27,266,1,7,3.0,10.08,0.05,3.06,27,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Provável
5,"{'CA': 4, 'DE': 67, 'DS': 1, 'FS': 5, 'GS': 21, 'SG': 9}",96468,27,285,1,2,0.0,8.64,0.0,4.13,22,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png,Dúvida
6,"{'A': 3, 'CA': 1, 'DS': 22, 'FC': 16, 'FD': 9, 'FF': 13, 'FS': 29, 'FT': 1, 'G': 3, 'I': 4, 'PI': 82, 'PP': 1}",94509,27,275,4,5,0.0,14.0,0.0,4.75,18,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",raphael-veiga,Raphael Veiga,R. Veiga,Raphael Cavalcante Veiga,https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png,Contundido
7,"{'DE': 77, 'DS': 1, 'FS': 1, 'GS': 18, 'SG': 10}",42234,27,264,1,7,5.0,12.0,0.68,4.82,23,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",cassio,Cássio,Cássio,Cássio Roberto Ramos,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Provável
8,"{'CA': 1, 'DE': 26, 'DP': 1, 'GS': 5, 'PC': 1, 'SG': 3}",72372,27,276,1,6,7.0,7.21,0.47,5.86,7,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",felipe-alves,Felipe Alves,F. Alves,Felipe Alves Raymundo,https://s.glbimg.com/es/sde/f/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,Nulo
9,"{'CA': 3, 'DE': 74, 'FS': 7, 'GC': 1, 'GS': 30, 'PC': 1, 'SG': 6}",93882,27,280,1,7,0.0,8.76,0.27,2.93,24,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",cleiton,Cleiton,Cleiton,Cleiton Schwengber,https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png,Provável
