,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,31,27,7,20,13,1
1,Corinthians,23,18,12,6,8,2
2,Internacional,21,16,11,5,11,3
3,São Paulo,18,17,13,4,6,4
4,Atlético-MG,18,17,14,3,6,5
5,Athletico-PR,18,13,15,-2,9,6
6,Santos,17,16,11,5,6,7
7,Bragantino,17,16,15,1,8,8
8,Avaí,17,15,17,-2,7,9
9,Flamengo,15,13,13,0,6,10
10,Ceará,15,16,17,-1,7,11
11,Fluminense,15,13,14,-1,4,12
12,Coritiba,15,16,18,-2,5,13
13,América-MG,15,11,13,-2,5,14
14,Botafogo,15,13,16,-3,3,15
15,Goiás,14,13,16,-3,6,16
16,Atlético-GO,13,12,17,-5,7,17
17,Cuiabá,12,9,15,-6,4,18
18,Juventude,10,11,21,-10,4,19
19,Fortaleza,8,9,15,-6,6,20
