,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,75,55,17,38,11,1
1,Corinthians,58,38,27,11,8,2
2,Internacional,57,40,26,14,11,3
3,Fluminense,53,42,32,10,7,4
4,Flamengo,51,41,29,12,13,5
5,Atlético-MG,50,33,24,9,8,6
6,São Paulo,48,40,29,11,10,7
7,Botafogo,47,32,33,-1,10,8
8,Athletico-PR,46,35,37,-2,4,9
9,Bragantino,43,43,41,2,6,10
10,Santos,41,34,27,7,6,11
11,Fortaleza,40,29,31,-2,11,12
12,Goiás,39,32,37,-5,6,13
13,América-MG,38,25,33,-8,4,14
14,Ceará,36,29,34,-5,3,15
15,Coritiba,36,27,43,-16,4,16
16,Atlético-GO,34,28,41,-13,8,17
17,Cuiabá,32,22,33,-11,4,18
18,Avaí,32,24,47,-23,0,19
19,Juventude,26,23,50,-27,2,20
